Attribute,Value
Symbol,NXPI
Name,NXP Semiconductors N.V.
Industry,Semiconductors
Sector,Technology
Country,Netherlands
Market Cap,53698818048
Description,"NXP Semiconductors N.V. offers various semiconductor products in China, the United States, Germany, Japan, Singapore, South Korea, Mexico, the Netherlands, Taiwan, and internationally. The company's product portfolio includes microcontrollers; application processors, including i.MX application processors, and i.MX 8 and 9 family of applications processors; communication processors; wireless connectivity solutions, such as near field communications, ultra-wideband, Bluetooth low-energy, Zigbee, Thread, and Wi-Fi and Wi-Fi/Bluetooth integrated SoCs; analog and interface devices; radio frequency power amplifiers; and security controllers, as well as semiconductor-based environmental and inertial sensors, including pressure, inertial, magnetic, and gyroscopic sensors. Its products are used in various applications, including automotive, industrial and Internet of Things, mobile, and communication infrastructure. The company markets its products to various original equipment manufacturers, contract manufacturers, and distributors. N.V. was incorporated in 2006 and is headquartered in Eindhoven, the Netherlands."
Website,https://www.nxp.com
Full Time Employees,33100
Currency,USD
Previous Close,210.73
Open,210.95
Bid,212.18
Ask,212.98
Day's Range,209.12 - 212.99
52 Week Range,148.09 - 296.08
Volume,2092094
Avg. Volume,3539396
Market Cap (intraday),53698818048
Beta (5Y Monthly),1.391
PE Ratio (TTM),23.154682
EPS (TTM),9.18
Earnings Date,1753128000
Forward Dividend & Yield,4.06 (1.91)
Ex-Dividend Date,1742342400
1y Target Est,235.19418
