Attribute,Value
Symbol,META
Name,"Meta Platforms, Inc."
Industry,Internet Content & Information
Sector,Communication Services
Country,United States
Market Cap,1610026188800
Description,"Meta Platforms, Inc. engages in the development of products that enable people to connect and share with friends and family through mobile devices, personal computers, virtual reality and mixed reality headsets, augmented reality, and wearables worldwide. It operates through two segments, Family of Apps (FoA) and Reality Labs (RL). The FoA segment offers Facebook, which enables people to build community through feed, reels, stories, groups, marketplace, and other; Instagram that brings people closer through instagram feed, stories, reels, live, and messaging; Messenger, a messaging application for people to connect with friends, family, communities, and businesses across platforms and devices through text, audio, and video calls; Threads, an application for text-based updates and public conversations; and WhatsApp, a messaging application that is used by people and businesses to communicate and transact in a private way. The RL segment provides virtual, augmented, and mixed reality related products comprising consumer hardware, software, and content that help people feel connected, anytime, and anywhere. The company was formerly known as Facebook, Inc. and changed its name to Meta Platforms, Inc. in October 2021. The company was incorporated in 2004 and is headquartered in Menlo Park, California."
Website,https://investor.atmeta.com
Full Time Employees,76834
Currency,USD
Previous Close,643.88
Open,637.525
Bid,639.55
Ask,640.95
Day's Range,626.15 - 640.4388
52 Week Range,442.65 - 740.91
Volume,18035596
Avg. Volume,18531660
Market Cap (intraday),1610026188800
Beta (5Y Monthly),1.237
PE Ratio (TTM),25.062233
EPS (TTM),25.55
Earnings Date,1746043503
Forward Dividend & Yield,2.1 (0.33)
Ex-Dividend Date,1741910400
1y Target Est,711.7766
