Attribute,Value
Symbol,AAPL
Name,Apple Inc.
Industry,Consumer Electronics
Sector,Technology
Country,United States
Market Cap,3155336888320
Description,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. The company offers iPhone, a line of smartphones; Mac, a line of personal computers; iPad, a line of multi-purpose tablets; and wearables, home, and accessories comprising AirPods, Apple TV, Apple Watch, Beats products, and HomePod. It also provides AppleCare support and cloud services; and operates various platforms, including the App Store that allow customers to discover and download applications and digital content, such as books, music, video, games, and podcasts, as well as advertising services include third-party licensing arrangements and its own advertising platforms. In addition, the company offers various subscription-based services, such as Apple Arcade, a game subscription service; Apple Fitness+, a personalized fitness service; Apple Music, which offers users a curated listening experience with on-demand radio stations; Apple News+, a subscription news and magazine service; Apple TV+, which offers exclusive original content; Apple Card, a co-branded credit card; and Apple Pay, a cashless payment service, as well as licenses its intellectual property. The company serves consumers, and small and mid-sized businesses; and the education, enterprise, and government markets. It distributes third-party applications for its products through the App Store. The company also sells its products through its retail and online stores, and direct sales force; and third-party cellular network carriers, wholesalers, retailers, and resellers. Apple Inc. was founded in 1976 and is headquartered in Cupertino, California."
Website,https://www.apple.com
Full Time Employees,164000
Currency,USD
Previous Close,211.45
Open,212.32
Bid,201.97
Ask,223.33
Day's Range,209.77 - 212.57
52 Week Range,169.21 - 260.1
Volume,53164417
Avg. Volume,60758877
Market Cap (intraday),3155336888320
Beta (5Y Monthly),1.275
PE Ratio (TTM),32.90654
EPS (TTM),6.42
Earnings Date,1746131400
Forward Dividend & Yield,1.04 (0.49)
Ex-Dividend Date,1747008000
1y Target Est,229.61293
