Attribute,Value
Symbol,HON
Name,Honeywell International Inc.
Industry,Conglomerates
Sector,Industrials
Country,United States
Market Cap,143369125888
Description,"Honeywell International Inc. engages in the aerospace technologies, industrial automation, building automation, and energy and sustainable solutions businesses in the United States, Europe, and internationally. The company's Aerospace Technologies segment offers auxiliary power units, propulsion engines, integrated avionics, environmental control and electric power systems, engine controls, flight safety, communications, navigation hardware, data and software applications, radar and surveillance systems, aircraft lighting, advanced systems and instruments, satellite and space components, and aircraft wheels and brakes; thermal systems; and spare parts; repair, overhaul, and maintenance services; and wireless connectivity services. Its Industrial Automation segment provides automation control and instrumentation products and services; smart energy products; sensing technologies with custom-engineered sensors and services; gas detection technologies and personal protective equipment; and system design automation equipment, as well as software and analytics for manufacturing, distribution, and fulfillment operations. Its Building Automation segment provides software applications for building control and optimization; sensors, switches, control systems, and instruments for energy management; access control; video surveillance; fire products; and installation, maintenance, and upgrades of systems. The company's Energy and Sustainability Solutions segment offers aviation fuels, petrochemical, refining, and natural gas liquefaction technologies; carbon management solutions; catalysts and adsorbents, equipment and aftermarket services; refrigeration and heating solutions; protective armor and medical applications; and semiconductor materials, as well as data integration and software solutions. Honeywell International Inc. was founded in 1885 and is headquartered in Charlotte, North Carolina."
Website,https://www.honeywell.com
Full Time Employees,102000
Currency,USD
Previous Close,221.16
Open,222.3
Bid,210.73
Ask,233.69
Day's Range,220.622 - 222.99
52 Week Range,179.36 - 242.77
Volume,2886541
Avg. Volume,4733311
Market Cap (intraday),143369125888
Beta (5Y Monthly),1.058
PE Ratio (TTM),25.647873
EPS (TTM),8.69
Earnings Date,1745920811
Forward Dividend & Yield,4.52 (2.03)
Ex-Dividend Date,1747353600
1y Target Est,237.60217
