Attribute,Value
Symbol,NTRS
Name,Northern Trust Corporation
Industry,Asset Management
Sector,Financial Services
Country,United States
Market Cap,20990758912
Description,"Northern Trust Corporation, a financial holding company, provides wealth management, asset servicing, asset management, and banking solutions for corporations, institutions, families, and individuals worldwide. It operates in two segments, Asset Servicing and Wealth Management. The Asset Servicing segment offers asset servicing and related services, including custody, fund administration, investment operations outsourcing, investment management, investment risk and analytical services, employee benefit services, securities lending, foreign exchange, treasury management, brokerage services, transition management services, banking, and cash management services. This segment serves corporate and public retirement funds, foundations, endowments, fund managers, insurance companies, sovereign wealth funds, and other institutional investors. The Wealth Management segment offers trust, investment management, custody, and philanthropic; financial consulting; guardianship and estate administration; family business consulting; family financial education; brokerage services; and private and business banking services. This segment serves high-net-worth individuals and families, business owners, executives, professionals, retirees, and established privately-held businesses. The company provides asset management services, such as active and passive equity; active and passive fixed income; cash management; muti-asset and alternative asset classes comprising private equity and hedge funds of funds; and multi-manager advisory services and products through separately managed accounts, bank common and collective funds, registered investment companies, exchange traded funds, non-U.S. collective investment funds, and unregistered private investment funds. In addition, it offers overlay and other risk management services. The company was founded in 1889 and is headquartered in Chicago, Illinois."
Website,https://www.northerntrust.com/asia-pac/home
Full Time Employees,23400
Currency,USD
Previous Close,107.47
Open,107.47
Bid,107.75
Ask,108.06
Day's Range,106.75 - 108.68
52 Week Range,79.68 - 114.67
Volume,1387442
Avg. Volume,1467531
Market Cap (intraday),20990758912
Beta (5Y Monthly),1.195
PE Ratio (TTM),10.074697
EPS (TTM),10.71
Earnings Date,1753275600
Forward Dividend & Yield,3.0 (2.78)
Ex-Dividend Date,1749168000
1y Target Est,103.46429
