Attribute,Value
Symbol,KR
Name,Kroger Company (The)
Industry,Grocery Stores
Sector,Consumer Defensive
Country,United States
Market Cap,45843976192
Description,"The Kroger Co. operates as a food and drug retailer in the United States. The company operates combination food and drug stores, multi-department stores, marketplace stores, and price impact warehouses. Its combination food and drug stores offer natural food and organic sections, pharmacies, general merchandise, pet centers, fresh seafood, and organic produce; and its multi-department stores provide apparel, home fashion and furnishings, outdoor living, electronics, automotive products, and toys. The company's marketplace stores offer full-service grocery, pharmacy, health and beauty care, and perishable goods, as well as general merchandise, including apparel, home goods, and toys; and its price impact warehouse stores provide grocery, and health and beauty care items, as well as meat, dairy, baked goods, and fresh produce items. It also manufactures and processes food products for sale in its supermarkets and online; and sells fuel through its fuel centers. The company sells its products through its stores, fuel centers, and online platforms. The Kroger Co. was founded in 1883 and is based in Cincinnati, Ohio."
Website,https://www.thekrogerco.com
Full Time Employees,409000
Currency,USD
Previous Close,67.6
Open,68.1
Bid,68.55
Ask,68.9
Day's Range,67.41 - 68.85
52 Week Range,49.04 - 73.63
Volume,5673200
Avg. Volume,7892076
Market Cap (intraday),45843976192
Beta (5Y Monthly),0.613
PE Ratio (TTM),18.760218
EPS (TTM),3.67
Earnings Date,1741266007
Forward Dividend & Yield,1.28 (1.86)
Ex-Dividend Date,1747267200
1y Target Est,69.82273
