Attribute,Value
Symbol,DHR
Name,Danaher Corporation
Industry,Diagnostics & Research
Sector,Healthcare
Country,United States
Market Cap,140350046208
Description,"Danaher Corporation designs, manufactures, and markets professional, medical, research, and industrial products and services in the United States, China, and internationally. It operates through Biotechnology, Life Sciences, and Diagnostics segments. The Biotechnology segment offers bioprocessing technologies, consumables, services, and solutions that advance, accelerate, and integrate the development and manufacture of therapeutics; cell line and cell culture media development services; cell culture media, process liquids and buffers for manufacturing, chromatography resins, filtration technologies, and aseptic fill finish; single-use hardware, consumables, and services, such as the design and installation of full manufacturing suites; lab filtration, separation, and purification; lab-scale protein purification and analytical tools; reagents, membranes, and services for diagnostic and assay development; and healthcare filtration solutions. Its Life Sciences segment provides mass spectrometers; bioanalytical measurement systems; flow cytometry, genomics, lab automation, centrifugation, liquid handling automation instruments, antibodies, and particle counting and characterization; genome sample preparation; microscopes; protein consumables; filtration products; and genomic medicines, such as custom nucleic acid products, and plasmid DNA, RNA, and proteins under the ABCAM, ALDEVRON, BECKMAN COULTER, GENEDATA, IDT, LEICA MICROSYSTEMS, MOLECULAR DEVICES, PALL, PHENOMENEX, and SCIEX brands. The Diagnostics segment offers clinical instruments, consumables, software, and services in the areas of clinical chemistry, immunoassay, hematology, and microbiology for hospitals, physicians' offices, reference laboratories, and other critical care settings. The company was formerly known as Diversified Mortgage Investors, Inc. and changed its name to Danaher Corporation in 1984. Danaher Corporation was founded in 1969 and is headquartered in Washington, the District Of Columbia."
Website,https://www.danaher.com
Full Time Employees,61000
Currency,USD
Previous Close,190.95
Open,191.65
Bid,185.92
Ask,197.78
Day's Range,189.51 - 196.41
52 Week Range,171.0 - 281.7
Volume,3867360
Avg. Volume,4423307
Market Cap (intraday),140350046208
Beta (5Y Monthly),0.834
PE Ratio (TTM),38.005814
EPS (TTM),5.16
Earnings Date,1745325000
Forward Dividend & Yield,1.28 (0.65)
Ex-Dividend Date,1750982400
1y Target Est,247.04625
