Attribute,Value
Symbol,KO
Name,Coca-Cola Company (The)
Industry,Beverages - Non-Alcoholic
Sector,Consumer Defensive
Country,United States
Market Cap,309907423232
Description,"The Coca-Cola Company, a beverage company, manufactures and sells various nonalcoholic beverages in the United States and internationally. The company provides sparkling soft drinks and flavors; water, sports, coffee, and tea; juice, value-added dairy, and plant-based beverages; and other beverages. It also offers beverage concentrates and syrups, as well as fountain syrups to fountain retailers comprising restaurants and convenience stores. The company sells its products under the Coca-Cola, Diet Coke/Coca-Cola Light, Coca-Cola Zero Sugar, caffeine free Diet Coke, Cherry Coke, Fanta Orange, Fanta Zero Orange, Fanta Zero Sugar, Fanta Apple, Sprite, Sprite Zero Sugar, Simply Orange, Simply Apple, Simply Grapefruit, Fresca, Schweppes, Thums Up, Aquarius, Ayataka, BODYARMOR, Ciel, Costa, Crystal, Dasani, dogadan, Fuze Tea, Georgia, glacéau smartwater, glacéau vitaminwater, Gold Peak, I LOHAS, Powerade, Topo Chico, Core Power, Del Valle, fairlife, innocent, Maaza, Minute Maid, Minute Maid Pulpy, and Simply brands. It operates through a network of independent bottling partners, distributors, wholesalers, and retailers, as well as through bottling and distribution operators. The company was founded in 1886 and is headquartered in Atlanta, Georgia."
Website,https://www.coca-colacompany.com
Full Time Employees,69700
Currency,USD
Previous Close,71.61
Open,71.86
Bid,72.0
Ask,72.08
Day's Range,71.43 - 72.26
52 Week Range,60.62 - 74.38
Volume,15130936
Avg. Volume,18739609
Market Cap (intraday),309907423232
Beta (5Y Monthly),0.474
PE Ratio (TTM),28.915663
EPS (TTM),2.49
Earnings Date,1745924100
Forward Dividend & Yield,2.04 (2.83)
Ex-Dividend Date,1749772800
1y Target Est,77.6684
