Attribute,Value
Symbol,FAST
Name,Fastenal Company
Industry,Industrial Distribution
Sector,Industrials
Country,United States
Market Cap,47627751424
Description,"Fastenal Company, together with its subsidiaries, engages in the wholesale distribution of industrial and construction supplies in the United States, Canada, Mexico, and internationally. It offers fasteners, and related industrial and construction supplies under the Fastenal name. The company's fastener products include threaded fasteners, bolts, nuts, screws, studs, and related washers that are used in manufactured products and construction projects, as well as in the maintenance and repair of machines. It also offers miscellaneous supplies and hardware, including pins, machinery keys, concrete anchors, metal framing systems, wire ropes, strut products, rivets, and related accessories. The company serves the manufacturing market comprising original equipment manufacturers; maintenance, repair, and operations customers; non-residential construction market; farmers, truckers, railroads, mining companies, schools, and retail trades; and oil exploration, production, and refinement companies, as well as federal, state, and local governmental entities. Fastenal Company was founded in 1967 and is headquartered in Winona, Minnesota."
Website,https://www.fastenal.com
Full Time Employees,21339
Currency,USD
Previous Close,81.88
Open,81.7901
Bid,82.97
Ask,83.09
Day's Range,81.6 - 83.11
52 Week Range,61.36 - 84.88
Volume,2544438
Avg. Volume,3783361
Market Cap (intraday),47627751424
Beta (5Y Monthly),1.009
PE Ratio (TTM),41.515
EPS (TTM),2.0
Earnings Date,1752499800
Forward Dividend & Yield,1.76 (2.12)
Ex-Dividend Date,1745539200
1y Target Est,75.28273
