Attribute,Value
Symbol,OXY
Name,Occidental Petroleum Corporatio
Industry,Oil & Gas E&P
Sector,Energy
Country,United States
Market Cap,42357084160
Description,"Occidental Petroleum Corporation, together with its subsidiaries, engages in the acquisition, exploration, and development of oil and gas properties in the United States and internationally. It operates through three segments: Oil and Gas, Chemical, and Midstream and Marketing. The Oil and Gas segment explores for, develops, and produces oil and condensate, natural gas liquids (NGLs), and natural gas. The Chemical segment manufactures and markets basic chemicals, including chlorine, caustic soda, chlorinated organics, potassium chemicals, ethylene dichloride, chlorinated isocyanurates, sodium silicates, and calcium chloride; and vinyls comprising vinyl chloride monomer, polyvinyl chloride, and ethylene. The Midstream and Marketing segment purchases, markets, gathers, processes, transports and stores oil, condensate, NGLs, natural gas, carbon dioxide, and power. This segment invests in entities. Occidental Petroleum Corporation was founded in 1920 and is headquartered in Houston, Texas."
Website,https://www.oxy.com
Full Time Employees,13323
Currency,USD
Previous Close,43.37
Open,43.66
Bid,42.74
Ask,42.96
Day's Range,42.655 - 43.7955
52 Week Range,34.78 - 64.76
Volume,6402674
Avg. Volume,13660690
Market Cap (intraday),42357084160
Beta (5Y Monthly),0.813
PE Ratio (TTM),17.425102
EPS (TTM),2.47
Earnings Date,1746648925
Forward Dividend & Yield,0.96 (2.23)
Ex-Dividend Date,1749513600
1y Target Est,49.27346
