Attribute,Value
Symbol,KMI
Name,"Kinder Morgan, Inc."
Industry,Oil & Gas Midstream
Sector,Energy
Country,United States
Market Cap,62437605376
Description,"Kinder Morgan, Inc. operates as an energy infrastructure company primarily in North America. The company operates through Natural Gas Pipelines, Products Pipelines, Terminals, and CO2 segments. The Natural Gas Pipelines segment owns and operates interstate and intrastate natural gas pipeline, and storage systems; natural gas gathering systems and natural gas processing and treating facilities; natural gas liquids fractionation facilities and transportation systems; and liquefied natural gas gasification, liquefaction, and storage facilities. The Products Pipelines segment owns and operates refined petroleum products, and crude oil and condensate pipelines; and associated product terminals and petroleum pipeline transmix facilities. The Terminals segment owns and/or operates liquids and bulk terminals that stores and handles various commodities, including gasoline, diesel fuel, renewable fuel and feedstocks, chemicals, ethanol, metals, and petroleum coke; and owns tankers. The CO2 segment produces, transports, and markets CO2 to recovery and production crude oil from mature oil fields; owns interests in/or operates oil fields and gasoline processing plants; and operates a crude oil pipeline system in West Texas, as well as owns and operates RNG and LNG facilities. The company was formerly known as Kinder Morgan Holdco LLC and changed its name to Kinder Morgan, Inc. in February 2011. Kinder Morgan, Inc. was founded in 1997 and is headquartered in Houston, Texas."
Website,https://www.kindermorgan.com
Full Time Employees,10933
Currency,USD
Previous Close,28.0
Open,28.02
Bid,28.08
Ask,28.08
Day's Range,27.82 - 28.23
52 Week Range,18.83 - 31.48
Volume,12379260
Avg. Volume,14118793
Market Cap (intraday),62437605376
Beta (5Y Monthly),0.739
PE Ratio (TTM),24.215519
EPS (TTM),1.16
Earnings Date,1744833900
Forward Dividend & Yield,1.17 (4.17)
Ex-Dividend Date,1745971200
1y Target Est,30.13647
