Attribute,Value
Symbol,DHI
Name,"D.R. Horton, Inc."
Industry,Residential Construction
Sector,Consumer Cyclical
Country,United States
Market Cap,38628007936
Description,"D.R. Horton, Inc. operates as a homebuilding company in East, North, Southeast, South Central, Southwest, and Northwest regions in the United States. It engages in the acquisition and development of land; and construction and sale of residential homes in 125 markets across 36 states under the names of D.R. Horton. The company constructs and sells single-family detached homes; and attached homes, such as townhomes, duplexes, and triplexes. It provides mortgage financing services; and title insurance policies, and examination and closing services, as well as engages in the residential lot development business. In addition, the company develops, constructs, owns, leases, and sells multi-family and single-family rental properties; and owns non-residential real estate, including ranch land and improvements. It primarily serves homebuyers. D.R. Horton, Inc. was founded in 1978 and is headquartered in Arlington, Texas."
Website,https://www.drhorton.com
Full Time Employees,14766
Currency,USD
Previous Close,123.39
Open,123.38
Bid,124.41
Ask,125.18
Day's Range,122.87 - 125.78
52 Week Range,110.44 - 199.85
Volume,2415376
Avg. Volume,3724077
Market Cap (intraday),38628007936
Beta (5Y Monthly),1.456
PE Ratio (TTM),9.533738
EPS (TTM),13.19
Earnings Date,1744885800
Forward Dividend & Yield,1.6 (1.27)
Ex-Dividend Date,1746144000
1y Target Est,144.5
