Attribute,Value
Symbol,CHRW
Name,"C.H. Robinson Worldwide, Inc."
Industry,Integrated Freight & Logistics
Sector,Industrials
Country,United States
Market Cap,11906344960
Description,"C.H. Robinson Worldwide, Inc., together with its subsidiaries, provides freight transportation and related logistics and supply chain services in the United States and internationally. It operates in two segments, North American Surface Transportation and Global Forwarding. The company offers transportation and logistics services, such as truckload; less than truckload transportation brokerage services, which include the shipment of single or multiple pallets of freight; intermodal transportation that comprises the shipment service of freight in containers or trailers by a combination of truck and rail; and non-vessel operating common carrier and freight forwarding services, as well as organizes air shipments and provides door-to-door services. It also provides customs brokerage services; and other logistics services, such as fee-based managed, warehousing, and other services. In addition, the company is involved in the buying, selling, and/or marketing of fresh fruits, vegetables, and other value-added perishable items under the Robinson Fresh trade name. Further, the company offers transportation management and other surface transportation services. It provides its fresh produce to grocery retailers, restaurants, produce wholesalers, and foodservice distributors through a network of independent produce growers and suppliers. The company was founded in 1905 and is headquartered in Eden Prairie, Minnesota."
Website,https://www.chrobinson.com
Full Time Employees,13347
Currency,USD
Previous Close,98.75
Open,99.81
Bid,91.81
Ask,107.98
Day's Range,99.35 - 100.5
52 Week Range,81.39 - 114.82
Volume,1515138
Avg. Volume,1525730
Market Cap (intraday),11906344960
Beta (5Y Monthly),0.925
PE Ratio (TTM),23.933174
EPS (TTM),4.19
Earnings Date,1746043500
Forward Dividend & Yield,2.48 (2.47)
Ex-Dividend Date,1749168000
1y Target Est,109.21333
