Attribute,Value
Symbol,COST
Name,Costco Wholesale Corporation
Industry,Discount Stores
Sector,Consumer Defensive
Country,United States
Market Cap,455143325696
Description,"Costco Wholesale Corporation, together with its subsidiaries, engages in the operation of membership warehouses in the United States, Puerto Rico, Canada, Mexico, Japan, the United Kingdom, Korea, Australia, Taiwan, China, Spain, France, Iceland, New Zealand, and Sweden. The company offers branded and private-label products in a range of merchandise categories. It offers merchandise, such as sundries, dry groceries, candies, coolers, freezers, deli, liquor, and tobacco; appliances, electronics, health and beauty aids, hardware, lawn and garden, sporting goods, tires, toys and seasonal products, office supplies, automotive care products, postages, tickets, apparel, small appliances, furniture, domestics, housewares, special order kiosks, and jewelry; and meat, produce, service deli, and bakery products. The company also operates gasoline, pharmacies, optical, food courts, hearing-aid centers, and tire installation centers; and offers business delivery, travel, grocery, and various other services online. It also operates e-commerce websites. The company was formerly known as Costco Companies, Inc. and changed its name to Costco Wholesale Corporation in August 1999. Costco Wholesale Corporation was founded in 1976 and is based in Issaquah, Washington."
Website,https://www.costco.com
Full Time Employees,333000
Currency,USD
Previous Close,1010.47
Open,1012.0
Bid,958.85
Ask,1035.02
Day's Range,1009.0 - 1028.262
52 Week Range,788.2 - 1078.23
Volume,2005790
Avg. Volume,2446396
Market Cap (intraday),455143325696
Beta (5Y Monthly),0.99
PE Ratio (TTM),59.885
EPS (TTM),17.13
Earnings Date,1748548800
Forward Dividend & Yield,5.2 (0.51)
Ex-Dividend Date,1746144000
1y Target Est,1053.976
