Attribute,Value
Symbol,NSC
Name,Norfolk Southern Corporation
Industry,Railroads
Sector,Industrials
Country,United States
Market Cap,55481769984
Description,"Norfolk Southern Corporation, together with its subsidiaries, engages in the rail transportation of raw materials, intermediate products, and finished goods in the United States. The company transports agriculture, forest, and consumer products comprising soybeans, wheat, corn, fertilizers, livestock and poultry feed, food products, food oils, flour, sweeteners, ethanol, lumber and wood products, pulp board and paper products, wood fibers, wood pulp, beverages, and canned goods; chemicals consist of sulfur and related chemicals, petroleum products comprising crude oil, chlorine and bleaching compounds, plastics, rubber, industrial chemicals, chemical wastes, sand, and natural gas liquids; metals and construction materials, such as steel, aluminum products, machinery, scrap metals, cement, aggregates, minerals, clay, transportation equipment, and military-related products; and automotive, including finished motor vehicles and automotive parts, as well as coal. It also transports overseas freight through various Atlantic and Gulf Coast ports; and operates an intermodal network. Norfolk Southern Corporation was incorporated in 1980 and is headquartered in Atlanta, Georgia."
Website,https://www.norfolksouthern.com
Full Time Employees,19600
Currency,USD
Previous Close,243.91
Open,245.0
Bid,246.02
Ask,246.22
Day's Range,243.35 - 246.67
52 Week Range,201.63 - 277.6
Volume,1063269
Avg. Volume,1342763
Market Cap (intraday),55481769984
Beta (5Y Monthly),1.294
PE Ratio (TTM),16.81011
EPS (TTM),14.64
Earnings Date,1745409608
Forward Dividend & Yield,5.4 (2.19)
Ex-Dividend Date,1746144000
1y Target Est,257.875
