Attribute,Value
Symbol,WMB
Name,"Williams Companies, Inc. (The)"
Industry,Oil & Gas Midstream
Sector,Energy
Country,United States
Market Cap,71783178240
Description,"The Williams Companies, Inc., together with its subsidiaries, operates as an energy infrastructure company primarily in the United States. It operates through Transmission & Gulf of America, Northeast G&P, West, and Gas & NGL Marketing Services segments. The Transmission & Gulf of America segment comprises Transco, NWP, and MountainWest interstate natural gas pipelines, and their related natural gas storage facilities, as well as natural gas gathering and processing; and crude oil production handling and transportation assets in the Gulf Coast region. The Northeast G&P segment engages in the midstream gathering, processing, and fractionation activities in the Marcellus Shale region primarily in Pennsylvania and New York, and the Utica Shale region of eastern Ohio. The West segment consists of gas gathering, processing, and treating operations in the Rocky Mountain region of Colorado and Wyoming, the Barnett Shale region of north-central Texas, the Eagle Ford Shale region of South Texas, the Haynesville Shale region of northwest Louisiana, the Mid-Continent region that includes the Anadarko and Permian basins, and the DJ Basin of Colorado; and operates natural gas liquid (NGL) fractionation and storage assets in central Kansas near Conway. The Gas & NGL Marketing Services segment provides wholesale marketing, trading, storage, and transportation of natural gas for natural gas utilities, municipalities, power generators, and producers; asset management services; and transports and markets NGLs. The company owns and operates approximately 33,000 miles of pipelines. The Williams Companies, Inc. was founded in 1908 and is headquartered in Tulsa, Oklahoma."
Website,https://www.williams.com
Full Time Employees,5829
Currency,USD
Previous Close,58.77
Open,58.82
Bid,58.01
Ask,58.8
Day's Range,58.1375 - 59.12
52 Week Range,39.88 - 61.67
Volume,5118340
Avg. Volume,7666969
Market Cap (intraday),71783178240
Beta (5Y Monthly),0.685
PE Ratio (TTM),31.607527
EPS (TTM),1.86
Earnings Date,1746476100
Forward Dividend & Yield,2.0 (3.4)
Ex-Dividend Date,1749772800
1y Target Est,60.2225
