Attribute,Value
Symbol,CPAY
Name,"Corpay, Inc."
Industry,Software - Infrastructure
Sector,Technology
Country,United States
Market Cap,24586688512
Description,"Corpay, Inc. operates as a payments company that helps businesses and consumers manage vehicle-related expenses, lodging expenses, and corporate payments in the United States, Brazil, the United Kingdom, and internationally. The company offers vehicle payment solutions, which include fuel, tolls, parking, vehicle compliance, fleet maintenance, and long-haul transportation services, as well as prepaid food and transportation vouchers and cards. It also provides corporate payment solutions consisting of accounts payable AP automation; virtual cards, cross-border solutions; and purchasing and T&E travel and entertainment card products, as well as lodging payments solutions for employees who travel overnight for work purposes; traveling crews and stranded passengers from airlines and cruise lines; and insurance policyholders displaced from their homes due to damage or catastrophe; workforce lodging solutions for business travel programs; airline logistics, crew management, insurance, and other payments solutions. In addition, the company offers gifts and payroll cards. It serves business, merchant, consumer, and payment network customers. The company was formerly known as FLEETCOR Technologies, Inc. and changed its name to Corpay, Inc. in March 2024. Corpay, Inc. was founded in 1986 and is headquartered in Atlanta, Georgia."
Website,https://www.corpay.com
Full Time Employees,11200
Currency,USD
Previous Close,347.21
Open,347.65
Bid,327.46
Ask,367.8
Day's Range,346.205 - 350.19
52 Week Range,247.1 - 400.81
Volume,436922
Avg. Volume,512195
Market Cap (intraday),24586688512
Beta (5Y Monthly),0.979
PE Ratio (TTM),24.441484
EPS (TTM),14.27
Earnings Date,1746565200
Forward Dividend & Yield,
Ex-Dividend Date,
1y Target Est,393.6325
