Attribute,Value
Symbol,NDAQ
Name,"Nasdaq, Inc."
Industry,Financial Data & Stock Exchanges
Sector,Financial Services
Country,United States
Market Cap,47020593152
Description,"Nasdaq, Inc. operates as a technology company that serves capital markets and other industries worldwide. It operates in three segments: Capital Access Platforms, Financial Technology, and Market Services. The company distributes historical and real-time market data; develops and licenses Nasdaq-branded indices and financial products; investor relations intelligence, governance solutions, and sustainability solution products for public and private companies and organizations; and insights and workflow solutions, as well as operates listing platforms. It also offers Verafin, a cloud-based platform to detect, investigate, and report money laundering and financial frauds; AxiomSL, a risk data management and regulatory reporting solution; surveillance solutions, including a SaaS platform to assist in complying with market rules, regulations, and internal market surveillance policies; Calypso, a platform providing cross-asset, front-to-back trading, treasury, risk, and collateral management solutions; and handles assets comprising cash equities, equity derivatives, currencies, various interest-bearing securities, commodities, energy products, and digital currencies; and trade management and colocation services. In addition, the company provides equity derivative trading and clearing, cash equity trading, fixed income and commodities trading and clearing, and currency trading services; and operates various exchanges, including derivatives, commodities, cash equity, debt, structured products, and exchange traded products; and clearing, settlement, and central depository services. The company was formerly known as The NASDAQ OMX Group, Inc. and changed its name to Nasdaq, Inc. in September 2015. Nasdaq, Inc. was founded in 1971 and is headquartered in New York, New York."
Website,https://www.nasdaq.com
Full Time Employees,9377
Currency,USD
Previous Close,81.28
Open,81.45
Bid,81.82
Ask,81.93
Day's Range,80.95 - 81.9
52 Week Range,58.28 - 84.15
Volume,5136039
Avg. Volume,3549119
Market Cap (intraday),47020593152
Beta (5Y Monthly),1.008
PE Ratio (TTM),37.058823
EPS (TTM),2.21
Earnings Date,1745492401
Forward Dividend & Yield,1.08 (1.32)
Ex-Dividend Date,1749772800
1y Target Est,84.0
