Attribute,Value
Symbol,AMCR
Name,Amcor plc
Industry,Packaging & Containers
Sector,Consumer Cyclical
Country,Switzerland
Market Cap,21630248960
Description,"Amcor plc develops, produces, and sells packaging products in Europe, North America, Latin America, and the Asia Pacific. The company operates in two segments, Flexibles and Rigid Packaging. The Flexibles segment offers flexible and film packaging products in the food and beverage, medical and pharmaceutical, fresh produce, snack food, personal care, and other industries. The Rigid Packaging segment provides rigid containers for various beverage and food products, including carbonated soft drinks, water, juices, sports drinks, milk-based beverages, spirits and beer, sauces, dressings, spreads, and personal care items; and plastic caps for various applications. It sells its products through its direct sales force. The company was incorporated in 1926 and is headquartered in Zurich, Switzerland."
Website,https://www.amcor.com
Full Time Employees,41000
Currency,USD
Previous Close,9.31
Open,9.31
Bid,9.43
Ask,9.44
Day's Range,9.305 - 9.46
52 Week Range,8.37 - 11.48
Volume,21853784
Avg. Volume,37558057
Market Cap (intraday),21630248960
Beta (5Y Monthly),0.78
PE Ratio (TTM),16.857141
EPS (TTM),0.56
Earnings Date,1746043200
Forward Dividend & Yield,0.51 (5.4)
Ex-Dividend Date,1747872000
1y Target Est,11.59333
