Attribute,Value
Symbol,GEV
Name,GE Vernova Inc.
Industry,Specialty Industrial Machinery
Sector,Industrials
Country,United States
Market Cap,116832559104
Description,"GE Vernova Inc., an energy company, engages in the provision of various products and services that generate, transfer, orchestrate, convert, and store electricity in the United States, Europe, Asia, the Americas, the Middle East, and Africa. The company operates through three segments: Power, Wind, and Electrification. The Power segment designs, manufactures, and services gas, nuclear, hydro, and steam technologies. The Wind segment offers wind generation technologies, including onshore and offshore wind turbines and blades. The Electrification segment provides grid solutions, power conversion, solar, and storage solutions; and electrification software for the transmission, distribution, conversion, storage, and orchestration of electricity from point of generation to point of consumption. The company was incorporated in 2023 and is headquartered in Cambridge, Massachusetts."
Website,https://www.gevernova.com
Full Time Employees,76800
Currency,USD
Previous Close,426.97
Open,431.0
Bid,421.15
Ask,424.5
Day's Range,423.1 - 431.4625
52 Week Range,150.01 - 447.5
Volume,2588241
Avg. Volume,4098723
Market Cap (intraday),116832559104
Beta (5Y Monthly),
PE Ratio (TTM),61.32665
EPS (TTM),6.98
Earnings Date,1745411400
Forward Dividend & Yield,1.0 (0.23)
Ex-Dividend Date,1744848000
1y Target Est,410.02518
