Attribute,Value
Symbol,HUBB
Name,Hubbell Inc
Industry,Electrical Equipment & Parts
Sector,Industrials
Country,United States
Market Cap,20933801984
Description,"Hubbell Incorporated, together with its subsidiaries, designs, manufactures, and sells electrical and utility solutions in the United States and internationally. It operates through two segments, Electrical Solutions and Utility Solutions. The Electrical Solution segment offers standard and special application wiring device products, rough-in electrical products, connector and grounding products, lighting fixtures, and other electrical equipment for use in industrial, commercial, and institutional facilities by electrical contractors, maintenance personnel, electricians, utilities, and telecommunications companies, as well as components and assemblies. It also designs and manufactures various industrial controls, and communication systems for use in the non-residential and industrial markets, as well as in the oil and gas, and mining industries. This segment sells its products through electrical and industrial distributors, home centers, retail and hardware outlets, lighting showrooms, and residential product-oriented internet sites; and special application products primarily through wholesale distributors to contractors, industrial customers, and original equipment manufacturers. The Utility Solution segment designs, manufactures, and sells electrical distribution, transmission, substation, and telecommunications products, such as arresters, insulators, connectors, anchors, bushings, and enclosures cutoffs and switches; and utility infrastructure products, including smart meters, communications systems, and protection and control devices. This segment sells its products to distributors. Its brand portfolio includes Hubbell, Kellems, Bryant, Burndy, CMC, Bell, TayMac, Wiegmann, Killark, Hawke, Aclara, Fargo, Quazite, Hot Box, etc. The company was founded in 1888 and is headquartered in Shelton, Connecticut."
Website,https://www.hubbell.com
Full Time Employees,17700
Currency,USD
Previous Close,386.64
Open,387.66
Bid,365.99
Ask,410.66
Day's Range,384.26 - 393.01
52 Week Range,299.425 - 481.345
Volume,659423
Avg. Volume,706294
Market Cap (intraday),20933801984
Beta (5Y Monthly),0.965
PE Ratio (TTM),26.51927
EPS (TTM),14.79
Earnings Date,1746099000
Forward Dividend & Yield,5.28 (1.35)
Ex-Dividend Date,1748563200
1y Target Est,415.21332
