Attribute,Value
Symbol,INTU
Name,Intuit Inc.
Industry,Software - Application
Sector,Technology
Country,United States
Market Cap,187384807424
Description,"Intuit Inc. provides financial management, compliance, and marketing products and services in the United States. The company operates in four segments: Small Business & Self-Employed, Consumer, Credit Karma, and ProTax. The Small Business & Self-Employed segment provides QuickBooks services, that includes financial and business management online services, desktop software, payroll solutions, time tracking, merchant payment processing and bill pay solutions, checking accounts, and financing services for small and mid-market businesses; and Mailchimp, a marketing automation and customer relationship management. This segment also offers QuickBooks online services and desktop software solutions comprising QuickBooks Online, QuickBooks Live, QuickBooks Online Advanced, QuickBooks Self-Employed, QuickBooks Solopreneur financial and business management offerings, QuickBooks Online Payroll QuickBooks Checking, QuickBooks Desktop software subscriptions, QuickBooks Basic Payroll, QuickBooks Assisted Payroll, and QuickBooks Enhanced Payroll. The Consumer segment provides do-it-yourself and assisted TurboTax income tax preparation products and services. The Credit Karma segment offers consumers with a personal finance platform that provides personalized recommendations of credit card, home, auto, and personal loan, and insurance product; online savings and checking accounts; and access to its credit scores and reports, credit and identity monitoring, credit report dispute, credit building tools, and tools. The ProTax segment provides Lacerte, ProSeries, and ProFile desktop tax-preparation software products; and ProConnect Tax Online bill pay tax products, electronic tax filing service, and bank products and related services. It sells products and services through direct sales channels, multi-channel shop-and-buy experiences, mobile application stores, and partner and other channels. The company was incorporated in 1984 and is headquartered in Mountain View, California."
Website,https://www.intuit.com
Full Time Employees,18800
Currency,USD
Previous Close,661.31
Open,672.81
Bid,669.34
Ask,670.81
Day's Range,662.1908 - 672.81
52 Week Range,532.65 - 714.78
Volume,1546821
Avg. Volume,1880568
Market Cap (intraday),187384807424
Beta (5Y Monthly),1.24
PE Ratio (TTM),62.87805
EPS (TTM),10.66
Earnings Date,1747944000
Forward Dividend & Yield,4.16 (0.62)
Ex-Dividend Date,1744243200
1y Target Est,699.34235
