Attribute,Value
Symbol,QCOM
Name,QUALCOMM Incorporated
Industry,Semiconductors
Sector,Technology
Country,United States
Market Cap,167445004288
Description,"QUALCOMM Incorporated engages in the development and commercialization of foundational technologies for the wireless industry worldwide. It operates through three segments: Qualcomm CDMA Technologies (QCT); Qualcomm Technology Licensing (QTL); and Qualcomm Strategic Initiatives (QSI). The QCT segment develops and supplies integrated circuits and system software with advanced connectivity and high-performance, and low-power computing technologies for use in mobile devices; automotive systems for connectivity, digital cockpit, and ADAS/AD; and IoT, including consumer electronic devices, industrial devices, and edge networking products. The QTL segment grants licenses or provides rights to use portions of its intellectual property portfolio, which include various patent rights useful in the manufacture and sale of wireless products comprising products implementing CDMA2000, WCDMA, LTE and/or OFDMA-based 5G products. The QSI segment invests in early-stage companies in various industries, including 5G, artificial intelligence, automotive, consumer, enterprise, cloud, IoT, and extended reality, and investments, including non-marketable equity securities and, to a lesser extent, marketable equity securities, and convertible debt instruments. It also provides development, and other services and sells related products to the United States government agencies and their contractors. The company was incorporated in 1985 and is headquartered in San Diego, California."
Website,https://www.qualcomm.com
Full Time Employees,49000
Currency,USD
Previous Close,152.61
Open,152.775
Bid,144.54
Ask,160.81
Day's Range,151.31 - 153.055
52 Week Range,120.8 - 230.63
Volume,6578791
Avg. Volume,9073034
Market Cap (intraday),167445004288
Beta (5Y Monthly),1.292
PE Ratio (TTM),15.5453615
EPS (TTM),9.81
Earnings Date,1746043200
Forward Dividend & Yield,3.56 (2.33)
Ex-Dividend Date,1749081600
1y Target Est,173.78517
