Attribute,Value
Symbol,EA
Name,Electronic Arts Inc.
Industry,Electronic Gaming & Multimedia
Sector,Communication Services
Country,United States
Market Cap,38001078272
Description,"Electronic Arts Inc. develops, markets, publishes, and delivers games, content, and services for game consoles, PCs, and mobile phones worldwide. It develops and publishes games and services across various genres, such as sports, racing, first-person shooter, action, role-playing, and simulation; live services offerings, including extra content and subscription offerings through its global football and American football franchises, such as EA SPORTS College Football and EA SPORTS Madden NFL, as well as based on its IP comprising The Sims, Apex Legends, and Battlefield. The company markets and sells its games and services through digital distribution and retail channels; and directly to mass market retailers, specialty stores, and distribution arrangements. Electronic Arts Inc. was incorporated in 1982 and is headquartered in Redwood City, California."
Website,https://www.ea.com
Full Time Employees,14500
Currency,USD
Previous Close,149.57
Open,149.79
Bid,141.36
Ask,157.54
Day's Range,149.2 - 151.73
52 Week Range,115.21 - 168.5
Volume,3931671
Avg. Volume,3674220
Market Cap (intraday),38001078272
Beta (5Y Monthly),0.746
PE Ratio (TTM),35.740566
EPS (TTM),4.24
Earnings Date,
Forward Dividend & Yield,0.76 (0.5)
Ex-Dividend Date,1748390400
1y Target Est,165.9576
