Attribute,Value
Symbol,DECK
Name,Deckers Outdoor Corporation
Industry,Footwear & Accessories
Sector,Consumer Cyclical
Country,United States
Market Cap,19413413888
Description,"Deckers Outdoor Corporation, together with its subsidiaries, designs, markets, and distributes footwear, apparel, and accessories for casual lifestyle use and high-performance activities in the United States and internationally. The company offers premium footwear, apparel, and accessories under the UGG brand name; footwear, apparel, and accessories for ultra-runners and athletes under the HOKA brand name; and sandals, shoes, and boots under the Teva brand name. It also provides relaxed casual shoes and sandals under the Sanuk brand name; casual footwear fashion line under the Koolaburra brand name; and footwear under the AHNU brand name. The company sells its products through domestic and international retailers; international distributors; and directly to its consumers through its direct-to-consumer business, which includes e-commerce websites and retail stores. Deckers Outdoor Corporation was founded in 1973 and is headquartered in Goleta, California."
Website,https://www.deckers.com
Full Time Employees,4800
Currency,USD
Previous Close,126.94
Open,128.05
Bid,125.4
Ask,126.32
Day's Range,126.59 - 128.85
52 Week Range,93.72 - 223.98
Volume,2144539
Avg. Volume,3138731
Market Cap (intraday),19413413888
Beta (5Y Monthly),1.11
PE Ratio (TTM),20.730957
EPS (TTM),6.17
Earnings Date,1747944000
Forward Dividend & Yield,
Ex-Dividend Date,
1y Target Est,164.32524
