Attribute,Value
Symbol,EXC
Name,Exelon Corporation
Industry,Utilities - Regulated Electric
Sector,Utilities
Country,United States
Market Cap,44510617600
Description,"Exelon Corporation, a utility services holding company, engages in the energy distribution and transmission businesses. The company is involved in the purchase and regulated retail sale of electricity and natural gas; transmission and distribution of electricity; and distribution of natural gas to retail customers. It serves residential, commercial, industrial, governmental, public authorities and electric railroads, and transportation customers. Exelon Corporation was incorporated in 1999 and is headquartered in Chicago, Illinois."
Website,https://www.exeloncorp.com
Full Time Employees,20000
Currency,USD
Previous Close,43.43
Open,43.05
Bid,41.57
Ask,44.11
Day's Range,43.02 - 44.12
52 Week Range,34.01 - 48.11
Volume,7207209
Avg. Volume,8822617
Market Cap (intraday),44510617600
Beta (5Y Monthly),0.513
PE Ratio (TTM),16.390335
EPS (TTM),2.69
Earnings Date,1746096600
Forward Dividend & Yield,1.6 (3.63)
Ex-Dividend Date,1747008000
1y Target Est,46.97294
