Attribute,Value
Symbol,HPE
Name,Hewlett Packard Enterprise Comp
Industry,Communication Equipment
Sector,Technology
Country,United States
Market Cap,23316045824
Description,"Hewlett Packard Enterprise Company provides solutions that allow customers to capture, analyze, and act upon data seamlessly in the Americas, Europe, the Middle East, Africa, the Asia Pacific, and Japan. It operates in five segments: Server, Hybrid Cloud, Intelligent Edge, Financial Services, and Corporate Investments and Other. The company offers general purpose servers for multi-workload computing and workload-optimized servers; HPE ProLiant Rack and Tower servers; HPE Synergy, a composable infrastructure for traditional and cloud-native applications; HPE Scale Up Servers product lines for critical applications, including large enterprise software applications and data analytics platforms; HPE Edgeline servers; HPE Cray EX; HPE Cray XD; and HPE NonStop. It also provides HPE Aruba products include hardware products, such as Wi-Fi access points, switches, and gateways; HPE Aruba Networking software and services comprising cloud-based management, network management and access control, software-defined wide-area networking, network security, analytics and assurance, location services software, private and public cellular core software, and professional and support services, as well as as-a-service and consumption models through the HPE GreenLake cloud for the Intelligent Edge portfolio of products. In addition, the company offers leasing, financing, IT consumption, utility programs, and asset management services for customers to facilitate technology deployment models and the acquisition of various IT solutions, including hardware, software, and services from Hewlett Packard Enterprise and others; consultative-led services; HPE and partner technology expertise and advice, and implementation services, as well as solution engagement capabilities; the Communications and Media Solutions (CMS) that offers software and related services; and Hewlett Packard Labs for research and development. It serves commercial and large enterprise groups, such as business and public sector enterprises; and through various partners comprising resellers, distribution partners, original equipment manufacturers, independent software vendors, systems integrators, and advisory firms. The company was founded in 1939 and is headquartered in Spring, Texas."
Website,https://www.hpe.com
Full Time Employees,61000
Currency,USD
Previous Close,17.62
Open,17.68
Bid,17.53
Ask,17.78
Day's Range,17.575 - 17.835
52 Week Range,11.965 - 24.66
Volume,11733659
Avg. Volume,21591111
Market Cap (intraday),23316045824
Beta (5Y Monthly),1.31
PE Ratio (TTM),8.533654
EPS (TTM),2.08
Earnings Date,1748980800
Forward Dividend & Yield,0.52 (2.93)
Ex-Dividend Date,1742515200
1y Target Est,18.976
