Attribute,Value
Symbol,UAL
Name,"United Airlines Holdings, Inc."
Industry,Airlines
Sector,Industrials
Country,United States
Market Cap,25452015616
Description,"United Airlines Holdings, Inc., through its subsidiaries, provides air transportation services in the United States, Canada, Atlantic, the Pacific, and Latin America. The company transports people and cargo through its mainline and regional fleets. It also offers ground handling, flight academy, frequent flyer award non-travel redemptions, and maintenance services for third parties. The company was formerly known as United Continental Holdings, Inc. and changed its name to United Airlines Holdings, Inc. in June 2019. United Airlines Holdings, Inc. was incorporated in 1968 and is based in Chicago, Illinois."
Website,https://www.united.com
Full Time Employees,109200
Currency,USD
Previous Close,76.54
Open,76.5
Bid,77.76
Ask,77.98
Day's Range,75.66 - 78.6
52 Week Range,37.02 - 116.0
Volume,6277760
Avg. Volume,9819536
Market Cap (intraday),25452015616
Beta (5Y Monthly),1.396
PE Ratio (TTM),7.090992
EPS (TTM),10.99
Earnings Date,1744747205
Forward Dividend & Yield,
Ex-Dividend Date,1199664000
1y Target Est,91.14522
