Attribute,Value
Symbol,ROL
Name,"Rollins, Inc."
Industry,Personal Services
Sector,Consumer Cyclical
Country,United States
Market Cap,27605436416
Description,"Rollins, Inc., through its subsidiaries, provides pest and wildlife control services to residential and commercial customers in the United States and internationally. The company offers pest control services to residential properties protecting from common pests, including rodents, insects, and wildlife. It also provides workplace pest control solutions for customers across various end markets, such as healthcare, foodservice, and logistics. In addition, the company offers termite protection and ancillary services. It serves clients directly, as well as through franchisee operations. The company was formerly known as Rollins Broadcasting, Inc and changed its name to Rollins, Inc. in 1965. Rollins, Inc. was founded in 1901 and is headquartered in Atlanta, Georgia."
Website,https://www.rollins.com
Full Time Employees,20000
Currency,USD
Previous Close,56.37
Open,56.42
Bid,56.75
Ask,56.75
Day's Range,56.34 - 57.06
52 Week Range,45.0 - 57.43
Volume,4403067
Avg. Volume,2160719
Market Cap (intraday),27605436416
Beta (5Y Monthly),0.788
PE Ratio (TTM),57.53535
EPS (TTM),0.99
Earnings Date,1745438716
Forward Dividend & Yield,0.66 (1.16)
Ex-Dividend Date,1747008000
1y Target Est,53.64636
