Attribute,Value
Symbol,GE
Name,GE Aerospace
Industry,Aerospace & Defense
Sector,Industrials
Country,United States
Market Cap,247167877120
Description,"General Electric Company, doing business as GE Aerospace, designs and produces commercial and defense aircraft engines, integrated engine components, electric power, and mechanical aircraft systems. The company operates through two reportable segments, Commercial Engines and Services, and Defense and Propulsion Technologies. The Commercial Engines and Services segment designs, develops, manufactures, maintenance, repair, and overhaul (MRO) services of jet engines and sale of spare parts for commercial airframes, business aviation, and aeroderivative applications. The Defense and Propulsion Technologies segment provides designs, develops, manufactures, and MRO services jet engines and avionics and power systems for governments, militaries and commercial airframers, as well as sale of spare parts. Its Defense and Propulsion Technologies segment also offers small turboprop engines, aeroengine mechanical transmissions, turbines, combustors and controls, additive manufacturing, propeller systems, ignition systems, sensors and engine accessories for both fixed wing and rotorcraft applications. The company operates in the United States, Europe, China, rest of Asia, the Americas, the Middle East, and Africa. General Electric Company was incorporated in 1892 and is based in Evendale, Ohio."
Website,https://www.geaerospace.com
Full Time Employees,53000
Currency,USD
Previous Close,229.38
Open,229.07
Bid,231.1
Ask,231.99
Day's Range,227.59 - 232.32
52 Week Range,150.2 - 232.32
Volume,3871773
Avg. Volume,5890803
Market Cap (intraday),247167877120
Beta (5Y Monthly),1.313
PE Ratio (TTM),36.50079
EPS (TTM),6.35
Earnings Date,1745325000
Forward Dividend & Yield,1.44 (0.62)
Ex-Dividend Date,1741564800
1y Target Est,226.90053
