Attribute,Value
Symbol,DE
Name,Deere & Company
Industry,Farm & Heavy Construction Machinery
Sector,Industrials
Country,United States
Market Cap,144251109376
Description,"Deere & Company engages in the manufacture and distribution of various equipment worldwide. The company operates through four segments: Production and Precision Agriculture, Small Agriculture and Turf, Construction and Forestry, and Financial Services. The Production and Precision Agriculture segment provides large and mid-size tractors, combines, cotton pickers and strippers, sugarcane harvesters and loaders, soil preparation, tillage, seeding, and crop care equipment, as well as application equipment, including sprayers and nutrient management, soil preparation machinery for grain growers, and related attachments and service parts. The Small Agriculture and Turf segment offers rotary mowers, hay and forage equipment, forage harvesters, utility tractors, and related loaders and attachments; turf and utility equipment, including riding lawn, commercial mowing, and golf course equipment, and utility vehicles; and other outdoor power products, as well as implements for mowing, tilling, snow and debris handling, aerating, residential, commercial, golf, and sports turf care applications. The Construction and Forestry segment provides backhoe loaders, crawler dozers and loaders, four-wheel-drive loaders, track loaders, excavators, motor graders, articulated dump trucks, landscape and skid-steer loaders, scraper systems, milling machines, recyclers, slipform and asphalt pavers, surface miners, compactors, tandem, static rollers, mobile crushers and screens, mobile and stationary asphalt plants, log skidders and harvesters, log feller bunchers, and log loaders and forwarders; and road building and rehabilitation equipment. The Financial Services segment finances sales and leases agriculture and turf, and construction and forestry equipment. It also offers wholesale financing to dealers of the foregoing equipment; and extended equipment warranties, as well as finances retail revolving charge accounts. The company was founded in 1837 and is headquartered in Moline, Illinois."
Website,https://www.deere.com
Full Time Employees,35200
Currency,USD
Previous Close,516.32
Open,515.8
Bid,525.0
Ask,527.0
Day's Range,515.8 - 533.78
52 Week Range,340.2 - 533.78
Volume,2309950
Avg. Volume,1475485
Market Cap (intraday),144251109376
Beta (5Y Monthly),1.094
PE Ratio (TTM),23.527224
EPS (TTM),22.59
Earnings Date,1747305034
Forward Dividend & Yield,6.48 (1.22)
Ex-Dividend Date,1743379200
1y Target Est,523.6768
