Attribute,Value
Symbol,GLW
Name,Corning Incorporated
Industry,Electronic Components
Sector,Technology
Country,United States
Market Cap,41299030016
Description,"Corning Incorporated engages in the optical communications, display technologies, environmental technologies, specialty materials, and life sciences businesses in the United States and internationally. The company's Optical Communications segment provides optical fibers and cables; and hardware and equipment products, such as cable assemblies, fiber optic hardware and connectors, optical components and couplers, closures, network interface devices, and other accessories for the telecommunications industry, businesses, governments, and individuals. Its Display Technologies segment offers glass substrates for flat panel displays, including liquid crystal displays and organic light-emitting diodes that are used in televisions, notebook computers, desktop monitors, tablets, and handheld devices. The company's Specialty Materials segment manufactures products that offer material formulations for glass, glass ceramics, crystals, precision metrology instruments, and software, as well as glass wafers and substrates, tinted sunglasses, and radiation shielding products for various markets comprising mobile consumer electronics, semiconductor equipment optics and consumables, aerospace and defense optics, radiation shielding products, sunglasses, and telecommunications components. Its Environmental Technologies segment provides ceramic substrates and filter products for emissions control in mobile, gasoline, and diesel applications. The company's Life Sciences segment offers laboratory products, including consumables, such as plastic vessels, liquid handling plastics, specialty surfaces, cell culture media, and serum, as well as general labware, and glassware and equipment under the Corning, Pyrex, Falcon, and Axygen brands. The company was formerly known as Corning Glass Works and changed its name to Corning Incorporated in April 1989. Corning Incorporated was founded in 1851 and is headquartered in Corning, New York."
Website,https://www.corning.com
Full Time Employees,56300
Currency,USD
Previous Close,47.6
Open,47.7
Bid,48.11
Ask,48.2
Day's Range,47.42 - 48.26
52 Week Range,35.3 - 55.33
Volume,3466444
Avg. Volume,6189587
Market Cap (intraday),41299030016
Beta (5Y Monthly),1.078
PE Ratio (TTM),92.730774
EPS (TTM),0.52
Earnings Date,1745925000
Forward Dividend & Yield,1.12 (2.32)
Ex-Dividend Date,1748563200
1y Target Est,52.17692
