Attribute,Value
Symbol,VRSN
Name,"VeriSign, Inc."
Industry,Software - Infrastructure
Sector,Technology
Country,United States
Market Cap,26586847232
Description,"VeriSign, Inc., together with its subsidiaries, provides internet infrastructure and domain name registry services that enables internet navigation for various recognized domain names worldwide. The company enables the security, stability, and resiliency of internet infrastructure and services, including providing root zone maintainer services, operating two of thirteen internet root servers; and offering registration services and authoritative resolution for the .com and .net domains, which supports global e-commerce. It operates directory for .name and .cc; and back-end systems for .edu, domain names. The company was incorporated in 1995 and is headquartered in Reston, Virginia."
Website,https://www.verisign.com
Full Time Employees,929
Currency,USD
Previous Close,281.64
Open,280.5
Bid,258.08
Ask,304.33
Day's Range,279.65 - 283.385
52 Week Range,168.79 - 288.95
Volume,710205
Avg. Volume,962742
Market Cap (intraday),26586847232
Beta (5Y Monthly),0.802
PE Ratio (TTM),34.613693
EPS (TTM),8.18
Earnings Date,1745525100
Forward Dividend & Yield,3.08 (1.09)
Ex-Dividend Date,1747612800
1y Target Est,253.835
