Attribute,Value
Symbol,RL
Name,Ralph Lauren Corporation
Industry,Apparel Manufacturing
Sector,Consumer Cyclical
Country,United States
Market Cap,16956126208
Description,"Ralph Lauren Corporation designs, markets, and distributes lifestyle products in North America, Europe, Asia, and internationally. The company offers apparel, including a range of men's, women's, and children's clothing; footwear and accessories, which comprise casual shoes, dress shoes, boots, sneakers, sandals, eyewear, watches, fashion and fine jewelry, scarves, hats, gloves, and umbrellas, as well as leather goods, such as handbags, luggage, small leather goods, and belts; home products consisting of bed and bath lines, furniture, fabric and wallcoverings, floor coverings, lighting, tabletop, kitchen linens, floor coverings, dining, decorative accessories, and giftware; and fragrances. It sells apparel and accessories under the Ralph Lauren Collection, Ralph Lauren Purple Label, Polo Ralph Lauren, Double RL, Lauren Ralph Lauren, Polo Golf Ralph Lauren, Ralph Lauren Golf, RLX Ralph Lauren, Polo Ralph Lauren Children, and Chaps brands; women's fragrances under the Ralph Lauren Collection, Woman by Ralph Lauren, Romance Collection, and Ralph Collection brand names; and men's fragrances under the Ralph's Club, Purple Label, Polo Blue, Polo Red, Polo Green, Polo Black, Polo 67, Safari, Polo Sport, and Big Pony Men's brand names. The company's restaurant collection includes The Polo Bar in New York City; RL Restaurant in Chicago; Ralph's in Paris; The Bar at Ralph Lauren located in Milan; Ralph's Bar located in Chengdu, China; and Ralph's Coffee concept. It sells its products to department stores, specialty stores, and golf and pro shops, as well as directly to consumers through its retail stores, concession-based shop-within-shops, and its digital commerce sites. The company directly operates retail stores and concession-based shop-within-shops; and operates Ralph Lauren stores and stores and shops through licensing partners. Ralph Lauren Corporation was founded in 1967 and is headquartered in New York, New York."
Website,https://www.ralphlauren.com
Full Time Employees,14800
Currency,USD
Previous Close,269.1
Open,269.435
Bid,263.22
Ask,274.2
Day's Range,268.43 - 275.61
52 Week Range,155.96 - 289.33
Volume,546309
Avg. Volume,1064922
Market Cap (intraday),16956126208
Beta (5Y Monthly),1.463
PE Ratio (TTM),25.002733
EPS (TTM),10.98
Earnings Date,1747917000
Forward Dividend & Yield,3.3 (1.2)
Ex-Dividend Date,1743120000
1y Target Est,275.77765
