Attribute,Value
Symbol,LYB
Name,LyondellBasell Industries NV
Industry,Specialty Chemicals
Sector,Basic Materials
Country,United States
Market Cap,19210078208
Description,"LyondellBasell Industries N.V. operates as a chemical company in the United States, Germany, Mexico, Italy, Poland, France, Japan, China, the Netherlands, and internationally. The company operates in six segments: Olefins and PolyolefinsAmericas; Olefins and PolyolefinsEurope, Asia, International; Intermediates and Derivatives; Advanced Polymer Solutions; Refining; and Technology. It produces and markets olefins and co-products, such as ethylene, aromatics, propylene and butadiene; polyolefins; polyethylene; and polypropylene homopolymers and copolymers; and propylene oxide and derivatives; oxyfuels and related products; and intermediate chemicals, such as styrene monomer, acetyls, and ethylene oxide. The company also produces and markets compounding and solutions, including polypropylene compounds, engineered plastics, masterbatches, engineered composites, colors and powders, and advanced polymers, such as catalloy and polybutene-1; and refines heavy, high-sulfur crude oil and other crude oils, as well as refined products, including gasoline and distillates. In addition, it develops and licenses chemical and polyolefin process technologies; manufactures and sells polyolefin catalysts; and serves food packaging, home furnishings, automotive components, and paints and coatings applications. LyondellBasell Industries N.V. was incorporated in 2009 and is headquartered in Houston, Texas."
Website,https://www.lyondellbasell.com
Full Time Employees,20000
Currency,USD
Previous Close,58.42
Open,58.43
Bid,58.37
Ask,59.74
Day's Range,57.9 - 59.885
52 Week Range,51.11 - 100.98
Volume,6188216
Avg. Volume,3880053
Market Cap (intraday),19210078208
Beta (5Y Monthly),0.89
PE Ratio (TTM),20.68166
EPS (TTM),2.89
Earnings Date,1745577000
Forward Dividend & Yield,5.36 (8.97)
Ex-Dividend Date,1741564800
1y Target Est,69.16333
