Attribute,Value
Symbol,CVX
Name,Chevron Corporation
Industry,Oil & Gas Integrated
Sector,Energy
Country,United States
Market Cap,246149890048
Description,"Chevron Corporation, through its subsidiaries, engages in the integrated energy and chemicals operations in the United States and internationally. The company operates in two segments, Upstream and Downstream. The Upstream segment engages in the exploration, development, production, and transportation of crude oil and natural gas; liquefaction, transportation, and regasification of liquefied natural gas; transporting crude oil through pipelines; processing, transporting, storage, and marketing of natural gas; and carbon capture and storage, as well as a gas-to-liquids plant. The Downstream segment refines crude oil into petroleum products; markets crude oil, refined products, and lubricants; manufactures and markets renewable fuels; transports crude oil and refined products through pipeline, marine vessel, motor equipment, and rail car; and manufactures and markets commodity petrochemicals, plastics for industrial uses, and fuel and lubricant additives. The company was formerly known as ChevronTexaco Corporation and changed its name to Chevron Corporation in 2005. Chevron Corporation was founded in 1879 and is headquartered in Houston, Texas."
Website,https://www.chevron.com
Full Time Employees,45298
Currency,USD
Previous Close,142.26
Open,142.7
Bid,141.91
Ask,142.23
Day's Range,140.696 - 143.0
52 Week Range,132.04 - 168.96
Volume,8159439
Avg. Volume,9575847
Market Cap (intraday),246149890048
Beta (5Y Monthly),0.806
PE Ratio (TTM),16.24
EPS (TTM),8.75
Earnings Date,1746180900
Forward Dividend & Yield,6.84 (4.81)
Ex-Dividend Date,1747612800
1y Target Est,163.65
