Attribute,Value
Symbol,LDOS
Name,"Leidos Holdings, Inc."
Industry,Information Technology Services
Sector,Technology
Country,United States
Market Cap,20466321408
Description,"Leidos Holdings, Inc., together with its subsidiaries, provides services and solutions for government and commercial customers in the United States and internationally. The National Security & Digital segment provides national security software; services by using artificial intelligence and machine learning to coordinate sea, ground, air, and space to help warfighters; offensive, defensive, and physical cyber operation solutions; intelligence analysis, operational support, logistics operations, security, linguistics, force production, biometrics, chemical, biological, radiological, nuclear, and explosives, energetics, training, and IT services and solutions; and Digital Modernization and transformation services. The Health & Civil segment offers air traffic control systems; health mission software; managed health services; site-wide infrastructure management and operation; product and logistical support services; and life science research and development support services. The Commercial & International segment provides power grid engineering and design, grid modernization, utility planning and consulting, energy management and efficiency, technical and financial consulting, and software and application development; people scanners, computed tomography carry-on baggage scanners, checked baggage scanners, and explosive trace detectors; mobile non-intrusive inspection systems; open-architecture platform that transforms airport security by integrating disparate devices and technologies into a unified management system; biometric and smart border protection systems; IT service management and transformation programs; and aerial border surveillance and search-and-rescue operation services. The Defense Systems segment offers airborne, air and missile defense, maritime, aerospace, and cyber and threat systems. Leidos Holdings, Inc. was founded in 1969 and is headquartered in Reston, Virginia."
Website,https://www.leidos.com
Full Time Employees,47000
Currency,USD
Previous Close,156.76
Open,155.28
Bid,152.5
Ask,161.08
Day's Range,155.39 - 159.145
52 Week Range,123.62 - 202.9
Volume,1006960
Avg. Volume,1632563
Market Cap (intraday),20466321408
Beta (5Y Monthly),0.661
PE Ratio (TTM),16.028225
EPS (TTM),9.92
Earnings Date,1746525606
Forward Dividend & Yield,1.6 (1.01)
Ex-Dividend Date,1750032000
1y Target Est,174.34132
