Attribute,Value
Symbol,ADP
Name,"Automatic Data Processing, Inc."
Industry,Software - Application
Sector,Technology
Country,United States
Market Cap,129639628800
Description,"Automatic Data Processing, Inc. engages in the provision of cloud-based human capital management (HCM) solutions worldwide. It operates in two segments, Employer Services and Professional Employer Organization (PEO). The Employer Services segment offers strategic, cloud-based platforms, and human resources (HR) outsourcing solutions. This segment's offerings include RUN Powered by ADP, a software platform for small business payroll, HR management, and tax compliance administration; ADP Workforce Now, a HCM solution used across mid-sized and large businesses to manage employees; and ADP Vantage HCM, a solution for HR management, benefits administration, payroll services, time and attendance management, and talent management. The PEO Services segment provides HR and employment administration outsourcing solutions under ADP TotalSource name to businesses through a co-employment model. The segment also provides employee benefits, protection and compliance, talent engagement, expertise, comprehensive outsourcing, and recruitment process outsourcing services. The company was founded in 1949 and is headquartered in Roseland, New Jersey."
Website,https://www.adp.com
Full Time Employees,64000
Currency,USD
Previous Close,315.85
Open,316.44
Bid,303.38
Ask,332.81
Day's Range,314.39 - 319.5
52 Week Range,231.27 - 322.84
Volume,1482350
Avg. Volume,1940836
Market Cap (intraday),129639628800
Beta (5Y Monthly),0.775
PE Ratio (TTM),32.688843
EPS (TTM),9.77
Earnings Date,1746010811
Forward Dividend & Yield,6.16 (1.93)
Ex-Dividend Date,1749772800
1y Target Est,310.40732
