Attribute,Value
Symbol,FDS
Name,FactSet Research Systems Inc.
Industry,Financial Data & Stock Exchanges
Sector,Financial Services
Country,United States
Market Cap,17961121792
Description,"FactSet Research Systems Inc., together with its subsidiaries, operates as a financial digital platform and enterprise solutions provider for the investment community worldwide. The company provides workstations, portfolio analytics, and enterprise data solutions, as well as managed services for supporting data, performance, risk, and reporting workflows. It offers subscription-based financial data and market intelligence on securities, companies, industries, and people that enable clients to research investment ideas, as well as analyze, monitor, and manage their portfolios. The company provides its services through its configurable desktop and mobile platform, data feeds, cloud-based digital solutions, and application programming interfaces. It serves investment professionals, including institutional asset managers, bankers, wealth managers, asset owners, partners, hedge funds, corporate users, and private equity and venture capital professionals. The company was founded in 1978 and is headquartered in Norwalk, Connecticut."
Website,https://www.factset.com
Full Time Employees,12598
Currency,USD
Previous Close,469.41
Open,469.15
Bid,472.29
Ask,495.6
Day's Range,466.0929 - 474.79
52 Week Range,391.69 - 499.87
Volume,679126
Avg. Volume,305563
Market Cap (intraday),17961121792
Beta (5Y Monthly),0.873
PE Ratio (TTM),33.664295
EPS (TTM),14.06
Earnings Date,1742464801
Forward Dividend & Yield,4.4 (0.93)
Ex-Dividend Date,1748563200
1y Target Est,440.68765
