Attribute,Value
Symbol,WAB
Name,Westinghouse Air Brake Technolo
Industry,Railroads
Sector,Industrials
Country,United States
Market Cap,35198906368
Description,"Westinghouse Air Brake Technologies Corporation provides technology-based locomotives, equipment, systems, and services for the freight rail and passenger transit industries worldwide. It offers diesel-electric and liquid natural gas-powered locomotives; engines, electric motors, and propulsion systems; and marine and mining products. The company also offers positive train control equipment; electronically controlled pneumatic braking products; railway electronics; signal design and engineering services; distributed locomotive power, train cruise controls, and train remote controls; industrial/mobile Internet of Things hardware and software, edge-to-cloud, on and off-board analytics and rules, and asset performance management solutions; rail and shipper transportation management, and port visibility and optimization solutions; and network optimization solutions. It provides freight car trucks, braking equipment, and related components; air compressors and dryers, as well as heating, ventilation, and air conditioning (HVAC) systems; heat transfer components and systems; custom engineered burners and combustion systems; rail gear, signaling, and switch products; and turbochargers. The company also offers various services, such as freight locomotive overhauls, modernizations, and refurbishment; locomotive and car maintenance; transit locomotive and car overhaul; unit exchange of locomotive components; long term parts arrangements; and maintenance of way equipment and services. It provides railway and freight braking equipment and related components; brake shoes, discs, and pads; HVAC equipment; access and platform screen doors; pantographs; auxiliary power converters and battery chargers; passenger information systems and closed-circuit television; signaling and railway electric relays; and doors, window assemblies, accessibility lifts, ramps, and electric charging solutions for buses. The company was founded in 1869 and is headquartered in Pittsburgh, Pennsylvania."
Website,https://www.wabteccorp.com
Full Time Employees,29500
Currency,USD
Previous Close,204.24
Open,204.47
Bid,205.71
Ask,205.71
Day's Range,203.23 - 206.31
52 Week Range,147.66 - 210.88
Volume,970728
Avg. Volume,1110338
Market Cap (intraday),35198906368
Beta (5Y Monthly),1.123
PE Ratio (TTM),32.13906
EPS (TTM),6.4
Earnings Date,1745404200
Forward Dividend & Yield,1.0 (0.49)
Ex-Dividend Date,1748304000
1y Target Est,211.36092
