Attribute,Value
Symbol,TPR
Name,"Tapestry, Inc."
Industry,Luxury Goods
Sector,Consumer Cyclical
Country,United States
Market Cap,17200885760
Description,"Tapestry, Inc. provides luxury accessories and branded lifestyle products in North America, Greater China, rest of Asia, and internationally. The company operates in three segments: Coach, Kate Spade, and Stuart Weitzman. It offers women's handbags; and women's accessories, such as small leather goods which includes mini and micro handbags, money pieces, wristlets, pouches, and cosmetic cases, as well as novelty accessories including address books, time management and travel accessories, sketchbooks, and portfolios; and belts, key rings, and charms. The company also provides men products, which includes bag collections, such as business cases, computer bags, messenger-style bags, backpacks, and totes; small leather goods including wallets, card cases, travel organizers, and belts; and footwear, watches, fragrances, sunglasses, novelty accessories, and ready-to-wear items. In addition, it offers other products including women's footwear and fragrances; eyewear and sunglasses; and jewelry, such as bracelets, necklaces, rings, and earrings, watches, and other women's seasonal lifestyle apparel collections, including outerwear, ready-to-wear and cold weather accessories, such as gloves, scarves, and hats. Further, the company provides kids items, housewares, and home accessories, such as fashion bedding and tableware, stationery, and gifts. It offers its products through retail and outlet stores, brand e-commerce sites, and concession shop-in-shops, wholesale, and third-party distributors under the Coach, Kate Spade, and Stuart Weitzman brand names. The company was formerly known as Coach, Inc. and changed its name to Tapestry, Inc. in October 2017. Tapestry, Inc. was founded in 1941 and is headquartered in New York, New York."
Website,https://www.tapestry.com
Full Time Employees,12500
Currency,USD
Previous Close,83.24
Open,83.59
Bid,82.83
Ask,83.51
Day's Range,82.5 - 83.78
52 Week Range,35.23 - 90.85
Volume,2154123
Avg. Volume,5865674
Market Cap (intraday),17200885760
Beta (5Y Monthly),1.429
PE Ratio (TTM),21.794737
EPS (TTM),3.8
Earnings Date,1746701100
Forward Dividend & Yield,1.4 (1.69)
Ex-Dividend Date,1749168000
1y Target Est,89.31579
