Attribute,Value
Symbol,CZR
Name,"Caesars Entertainment, Inc."
Industry,Resorts & Casinos
Sector,Consumer Cyclical
Country,United States
Market Cap,6384617984
Description,"Caesars Entertainment, Inc. operates as a gaming and hospitality company. The company owns, leases, brands, or manages domestic properties in 18 states with slot machines, video lottery terminals and e-tables, and hotel rooms, as well as table games, including poker. It also operates and conducts retail and online sports wagering across 32 jurisdictions in North America, and iGaming in five jurisdictions in North America; sports betting from retail and online sportsbooks; and other games, such as keno. In addition, the company operates dining venues, bars, nightclubs, lounges, hotels, and entertainment venues; and provides staffing and management services. The company was founded in 1937 and is based in Reno, Nevada."
Website,https://www.caesars.com
Full Time Employees,50000
Currency,USD
Previous Close,30.31
Open,30.43
Bid,28.15
Ask,32.62
Day's Range,30.21 - 30.765
52 Week Range,21.4 - 45.93
Volume,3439131
Avg. Volume,6045430
Market Cap (intraday),6384617984
Beta (5Y Monthly),2.514
PE Ratio (TTM),
EPS (TTM),-1.1
Earnings Date,1745956860
Forward Dividend & Yield,
Ex-Dividend Date,
1y Target Est,42.8
