Attribute,Value
Symbol,XYL
Name,Xylem Inc.
Industry,Specialty Industrial Machinery
Sector,Industrials
Country,United States
Market Cap,31156230144
Description,"Xylem Inc., together with its subsidiaries, engages in the design, manufacture, and servicing of engineered products and solutions for utility, industrial, and residential and commercial building services settings worldwide. It operates through four segments: Water Infrastructure; Applied Water; Measurement and Control Solutions; and Water Solutions and Services. The company offers water, wastewater and storm water pumps, and controls and systems; filtration, disinfection, and biological treatment equipment under the Flygt, Ionpure, Vortisand, Wallace & Tiernan, and Wedeco brands; and pumps, valves, heat exchangers, controls and dispensing equipment used for water and focuses on the residential, commercial and industrial markets under the Rule, Bell & Gossett, Flojet, Goulds Water Technology, Jabsco, Lowara, and Standard Xchange brands. It also provides smart meters, network communication devices, data analytics, test instruments, controls, sensor devices, software and managed services, and critical infrastructure services; and software and services including cloud-based analytics, and remote monitoring and data management under the Sensus, Smith Blair, WTW, YSI, and Xylem Vue brands. In addition, the company offers preventative maintenance services, rapid response mobile services, digitally enabled/outsourced solutions, process and wastewater treatment systems, environmental remediation, odor and corrosion control, filtration, reverse osmosis, continuous deionization, and mobile dewatering equipment and rental services; and municipal services comprising odor and corrosion control services, as well as leak detection, condition assessment and asset management and pressure monitoring solutions under the AquaPro, WaterOne, Ion Pure, Flygt, Pure Technologies, and Godwin brands. The company was formerly known as ITT WCO, Inc. and changed its name to Xylem Inc. in May 2011. Xylem Inc. was incorporated in 2011 and is headquartered in Washington, District Of Columbia."
Website,https://www.xylem.com
Full Time Employees,23000
Currency,USD
Previous Close,126.62
Open,126.94
Bid,99.99
Ask,130.62
Day's Range,125.9 - 128.06
52 Week Range,100.47 - 146.08
Volume,1042295
Avg. Volume,1808149
Market Cap (intraday),31156230144
Beta (5Y Monthly),1.097
PE Ratio (TTM),34.509434
EPS (TTM),3.71
Earnings Date,1745924100
Forward Dividend & Yield,1.6 (1.25)
Ex-Dividend Date,1748476800
1y Target Est,139.82562
