Attribute,Value
Symbol,STT
Name,State Street Corporation
Industry,Asset Management
Sector,Financial Services
Country,United States
Market Cap,28030539776
Description,"State Street Corporation, through its subsidiaries, provides a range of financial products and services to institutional investors worldwide. The company offers investment servicing products and services, including custody, accounting and fund administration services for traditional and alternative assets, as well as multi-asset class investments; recordkeeping, client reporting, and investment book of record, transaction management, loans, cash, derivatives and collateral services; investor services operations outsourcing; performance, risk, and compliance analytics; financial data management to support institutional investors; foreign exchange, brokerage and other trading services; securities finance, including prime services products; and deposit and short-term investment facilities. It also provides State Street Alpha platform that combines portfolio management, trading and execution, analytics and compliance tools, and advanced data aggregation and integration with other industry platforms and providers; front-office technology that automates and simplifies the institutional investment process comprising from portfolio management and risk analytics, trading, and post-trade settlement with integrated compliance and managed data; investment management solutions; and portfolio management, trading compliance, and manager/sponsor communication. In addition, the company offers investment management solutions, including strategies across equity, fixed income, cash, multi-asset, and alternatives; products, such as SPDR ETFs and index funds; and services comprising defined benefit, defined contribution, and outsourced chief investment officer. The company provides its products and services mutual funds, collective investment funds and other investment pools, corporate and public retirement plans, insurance companies, investment managers, foundations, and endowments. State Street Corporation was founded in 1792 and is headquartered in Boston, Massachusetts."
Website,https://www.statestreet.com
Full Time Employees,52711
Currency,USD
Previous Close,98.2
Open,98.21
Bid,93.67
Ask,98.25
Day's Range,97.605 - 98.69
52 Week Range,70.2 - 103.0
Volume,1672787
Avg. Volume,2290803
Market Cap (intraday),28030539776
Beta (5Y Monthly),1.436
PE Ratio (TTM),11.068694
EPS (TTM),8.88
Earnings Date,1752579000
Forward Dividend & Yield,3.04 (3.09)
Ex-Dividend Date,1751328000
1y Target Est,102.46667
