Attribute,Value
Symbol,BLDR
Name,"Builders FirstSource, Inc."
Industry,Building Products & Equipment
Sector,Industrials
Country,United States
Market Cap,13332529152
Description,"Builders FirstSource, Inc., together with its subsidiaries, manufactures and supplies building materials, manufactured components, and construction services to professional homebuilders, sub-contractors, remodelers, and consumers in the United States. It offers manufactured products, such as wood floor and roof trusses, floor trusses, wall panels, stairs, and engineered wood products under the Ready-Frame brand name; windows and doors comprising interior and exterior door units; millwork includes interior trim and custom features, such as intricate mouldings, stair parts, and columns under the Synboard brand name. The company also provides specialty building products and services, including vinyl, composite and wood siding, exterior trims, metal studs, cement, roofing, insulation, wallboards, ceilings, cabinets, and hardware products; turn-key framing, shell construction, design assistance, and professional installation services; and lumber and lumber sheet goods comprising dimensional lumber, plywood, and oriented strand board products that are used in on-site house framing. In addition, it offers software products, such as drafting, estimating, quoting, and virtual home design services, which provide software solutions to retailers, distributors, manufacturers, and homebuilders. It serves its products to production builders and small custom homebuilders, as well as multi-family builders, repair and remodeling contractors, and light commercial contractors. The company was formerly known as BSL Holdings, Inc. and changed its name to Builders FirstSource, Inc. in October 1999. Builders FirstSource, Inc. was incorporated in 1998 and is based in Irving, Texas."
Website,https://www.bldr.com
Full Time Employees,29000
Currency,USD
Previous Close,117.96
Open,118.69
Bid,118.0
Ask,120.0
Day's Range,118.0 - 121.05
52 Week Range,103.81 - 203.14
Volume,1601366
Avg. Volume,1916247
Market Cap (intraday),13332529152
Beta (5Y Monthly),1.794
PE Ratio (TTM),15.446863
EPS (TTM),7.81
Earnings Date,1746097200
Forward Dividend & Yield,
Ex-Dividend Date,
1y Target Est,143.9025
