Attribute,Value
Symbol,AVY
Name,Avery Dennison Corporation
Industry,Packaging & Containers
Sector,Consumer Cyclical
Country,United States
Market Cap,14322551808
Description,"Avery Dennison Corporation operates as a materials science and digital identification solutions company in the United States, Europe, the Middle East, North Africa, Asia, Latin, America, and internationally. It provides pressure-sensitive label materials consist of papers, plastic films, and metal foils; performance tapes products, including mechanical fasteners, which are precision-extruded and injection-molded plastic devices used in various automotive, general industrial, and retail applications; and other pressure-sensitive adhesive-based materials and converted products under the Fasson, JAC, and Avery Dennison brands. The company also offers graphics and reflective products that include a variety of films and other products for the architectural, commercial sign, digital printing, and other related market segments; durable cast and reflective films to the construction, automotive, and fleet transportation markets; sign shops, commercial printers, and designers for a range of pressure-sensitive materials; reflective films for traffic and safety applications; and pressure-sensitive vinyl and specialty materials for digital imaging, screen printing, and sign cutting applications under the Avery Dennison and Mactac brand names. In addition, it provides branding solutions, including brand embellishments, graphic tickets, tags, labels, and sustainable packaging; and information solutions, such as item-level RFID, visibility and loss prevention, price ticketing and marking, productivity and media, and brand protection and security solutions, as well as care, content, and country of origin compliance solutions. It serves home and personal care, apparel, general retail, e-commerce, logistics, food and grocery, pharmaceuticals, and automotive industries. The company was formerly known as Avery International Corporation and changed its name to Avery Dennison Corporation in 1990. Avery Dennison Corporation was founded in 1935 and is headquartered in Mentor, Ohio."
Website,https://www.averydennison.com
Full Time Employees,35000
Currency,USD
Previous Close,181.87
Open,181.87
Bid,183.1
Ask,219.0
Day's Range,180.04 - 183.55
52 Week Range,157.0 - 233.48
Volume,490686
Avg. Volume,807900
Market Cap (intraday),14322551808
Beta (5Y Monthly),0.887
PE Ratio (TTM),21.107143
EPS (TTM),8.68
Earnings Date,1745405100
Forward Dividend & Yield,3.76 (2.05)
Ex-Dividend Date,1748995200
1y Target Est,190.83357
