Attribute,Value
Symbol,BKR
Name,Baker Hughes Company
Industry,Oil & Gas Equipment & Services
Sector,Energy
Country,United States
Market Cap,37440442368
Description,"Baker Hughes Company provides a portfolio of technologies and services to energy and industrial value chain worldwide. The company operates through Oilfield Services & Equipment (OFSE) and Industrial & Energy Technology (IET) segments. The OFSE segment designs and manufactures products and provides related services, including exploration, appraisal, development, production, rejuvenation, and decommissioning for onshore and offshore oilfield operations. This segment also provides drilling services, drill bits, and drilling and completions fluids; completions, intervention, measurements, pressure pumping, and wireline services; artificial lift systems, and oilfield and industrial chemicals; subsea projects and services, flexible pipe systems, and surface pressure control systems; and integrated well services and solutions. It serves oil and natural gas companies; the United States and international independent oil and natural gas companies; national or state-owned oil companies; engineering, procurement, and construction contractors; geothermal companies; and other oilfield service companies. The IET segment provides gas technology equipment, including drivers, driven equipment, and turnkey solutions for the mechanical and electric-drive, compression, and power-generation applications; and energy sectors, such as oil and gas, LNG operations, petrochemical, and carbon solutions. This segment also provides rack-based vibrating monitoring equipment and sensors; integrated asset performance management products; inspection services; pumps, valves, and gears; precision sensors and instrumentation, and condition monitoring solutions. It serves upstream, midstream, downstream, onshore, offshore, and small-to-large scale customers. The company was formerly known as Baker Hughes, a GE company and changed its name to Baker Hughes Company in October 2019. Baker Hughes Company was incorporated in 2016 and is based in Houston, Texas."
Website,https://www.bakerhughes.com
Full Time Employees,57000
Currency,USD
Previous Close,37.73
Open,37.845
Bid,37.74
Ask,37.83
Day's Range,37.23 - 38.5
52 Week Range,30.93 - 49.4
Volume,6155361
Avg. Volume,8460604
Market Cap (intraday),37440442368
Beta (5Y Monthly),0.937
PE Ratio (TTM),12.897611
EPS (TTM),2.93
Earnings Date,1745355599
Forward Dividend & Yield,0.92 (2.43)
Ex-Dividend Date,1746489600
1y Target Est,46.63269
