Attribute,Value
Symbol,APD
Name,"Air Products and Chemicals, Inc"
Industry,Specialty Chemicals
Sector,Basic Materials
Country,United States
Market Cap,62074195968
Description,"Air Products and Chemicals, Inc. provides atmospheric gases, process and specialty gases, equipment, and related services in the Americas, Asia, Europe, the Middle East, India, and internationally. The company produces atmospheric gases, including oxygen, nitrogen, and argon; process gases, such as hydrogen, helium, carbon dioxide, carbon monoxide, and syngas; and specialty gases for customers in various industries, including refining, chemical, manufacturing, electronics, energy production, medical, food, and metals. It also designs and manufactures equipment for air separation, hydrocarbon recovery and purification, natural gas liquefaction, and liquid helium and liquid hydrogen transport and storage. The company was founded in 1940 and is headquartered in Allentown, Pennsylvania."
Website,https://www.airproducts.com
Full Time Employees,21850
Currency,USD
Previous Close,274.42
Open,274.17
Bid,265.25
Ask,290.0
Day's Range,272.39 - 278.95
52 Week Range,243.69 - 341.14
Volume,882100
Avg. Volume,1284996
Market Cap (intraday),62074195968
Beta (5Y Monthly),0.89
PE Ratio (TTM),40.133812
EPS (TTM),6.95
Earnings Date,1746102600
Forward Dividend & Yield,7.16 (2.57)
Ex-Dividend Date,1743465600
1y Target Est,319.65726
