Attribute,Value
Symbol,HPQ
Name,HP Inc.
Industry,Computer Hardware
Sector,Technology
Country,United States
Market Cap,27640051712
Description,"HP Inc. provides personal computing, printing, 3D printing, hybrid work, gaming, and other related technologies in the United States and internationally. The company operates through three segments: Personal Systems, Printing, and Corporate Investments. The Personal Systems segment offers commercial and consumer desktops and notebooks, workstations, thin clients, retail point-of-sale systems, displays, software, support, and services, as well as hybrid systems. The Printing segment provides consumer and commercial printer hardware, supplies, solutions, and services, as well as focuses on graphics and 3D printing and personalization solutions in the commercial and industrial markets. The Corporate Investments segment is involved in the business incubation and investment projects. It serves individual consumers, small- and medium-sized businesses, and large enterprises. The company was formerly known as Hewlett-Packard Company and changed its name to HP Inc. in October 2015. HP Inc. was founded in 1939 and is headquartered in Palo Alto, California."
Website,https://www.hp.com
Full Time Employees,58000
Currency,USD
Previous Close,28.78
Open,28.9
Bid,29.02
Ask,29.3
Day's Range,28.8804 - 29.37
52 Week Range,21.21 - 39.8
Volume,7798662
Avg. Volume,8899363
Market Cap (intraday),27640051712
Beta (5Y Monthly),1.339
PE Ratio (TTM),10.546762
EPS (TTM),2.78
Earnings Date,1748462400
Forward Dividend & Yield,1.16 (3.95)
Ex-Dividend Date,1749600000
1y Target Est,32.088
