Attribute,Value
Symbol,K
Name,Kellanova
Industry,Packaged Foods
Sector,Consumer Defensive
Country,United States
Market Cap,28553080832
Description,"Kellanova, together with its subsidiaries, manufactures and markets snacks and convenience foods in North America, Europe, Latin America, the Asia Pacific, the Middle East, Australia, and Africa. Its principal products consist of snacks, such as crackers, savory snacks, toaster pastries, cereal bars, granola bars, and bites; and convenience foods, including ready-to-eat cereals, frozen waffles, veggie foods, and noodles; and crisps. The company offers its products under the Kellogg's, Cheez-It, Pringles, Austin, Parati, RXBAR, Eggo, Morningstar Farms, Bisco, Club, Luxe, Minueto, Special K, Toasteds, Town House, Zesta, Zoo Cartoon, Choco Krispis, Crunchy Nut, Kashi, Nutri-Grain, Squares, Zucaritas, Rice Krispies Treats, Sucrilhos, Pop-Tarts, K-Time, Sunibrite, Split Stix, LCMs, Coco Pops, Krave, Frosties, Rice Krispies Squares, Incogmeato, Veggitizers, Gardenburger, Trink, Carr's, Kellogg's Extra, Müsli, Fruit n Fibre, Kellogg's Crunchy Nut, Country Store, Smacks, Honey Bsss, Zimmy's, Toppas, Tresor, Froot Ring, Chocos, Chex, Guardian, Just Right, Sultana Bran, Rice Bubbles, Sustain, Choco Krispies, Melvin, Cornelius, Chocovore, Poperto, Pops the Bee, and Sammy the Seal brand names. It sells its products to retailers through direct sales forces, as well as brokers and distributors. The company was formerly known as Kellogg Company and changed its name to Kellanova in October 2023. Kellanova was founded in 1906 and is headquartered in Chicago, Illinois."
Website,https://www.kellanova.com
Full Time Employees,24000
Currency,USD
Previous Close,82.13
Open,82.02
Bid,82.25
Ask,82.35
Day's Range,81.96 - 82.3499
52 Week Range,55.96 - 83.22
Volume,3373826
Avg. Volume,2873623
Market Cap (intraday),28553080832
Beta (5Y Monthly),0.309
PE Ratio (TTM),20.730478
EPS (TTM),3.97
Earnings Date,1746100800
Forward Dividend & Yield,2.28 (2.77)
Ex-Dividend Date,1748822400
1y Target Est,83.39286
