Attribute,Value
Symbol,PNC
Name,"PNC Financial Services Group, I"
Industry,Banks - Regional
Sector,Financial Services
Country,United States
Market Cap,70972628992
Description,"The PNC Financial Services Group, Inc. operates as a diversified financial services company in the United States. It operates through three segments: Retail Banking, Corporate & Institutional Banking, and Asset Management Group segments. The Retail Banking segment offers checking, savings, and money market accounts, and time deposit; residential mortgages, home equity loans and lines of credit, auto loans, credit cards, education loans, and personal and small business loans and lines of credit; and brokerage, insurance, and investment and cash management services. This segment serves consumer and small business customers through a network of branches, digital channels, ATMs, and through phone-based customer contact centers. The Corporate & Institutional Banking segment provides secured and unsecured loans, letters of credit, and equipment leases; cash and investment management, receivables and disbursement management, funds transfer, international payment, and access to online/mobile information management and reporting services; asset-backed financing, securities underwriting, loan syndications, mergers and acquisitions and equity capital markets advisory, and customer related services; and commercial loan servicing and technology solutions. It serves mid-sized and large corporations, and government and not-for-profit entities. The Asset Management Group segment offers investment and retirement planning, customized investment management, credit and cash management solutions, and trust management and administration services for high net worth and ultra high net worth individuals, and their families; and multi-generational family planning services. It also provides outsourced chief investment officer, custody, cash and fixed income client solutions, and retirement plan fiduciary investment services for institutional clients. The company was founded in 1865 and is headquartered in Pittsburgh, Pennsylvania."
Website,https://www.pnc.com
Full Time Employees,53686
Currency,USD
Previous Close,179.46
Open,179.14
Bid,179.44
Ask,185.12
Day's Range,178.655 - 180.34
52 Week Range,145.12 - 216.26
Volume,2215712
Avg. Volume,2616973
Market Cap (intraday),70972628992
Beta (5Y Monthly),1.064
PE Ratio (TTM),12.670904
EPS (TTM),14.16
Earnings Date,1752669000
Forward Dividend & Yield,6.4 (3.57)
Ex-Dividend Date,1744761600
1y Target Est,194.55
