Attribute,Value
Symbol,LW
Name,"Lamb Weston Holdings, Inc."
Industry,Packaged Foods
Sector,Consumer Defensive
Country,United States
Market Cap,7599096320
Description,"Lamb Weston Holdings, Inc. engages in the production, distribution, and marketing of frozen potato products in the United States, Canada, Mexico, and internationally. It offers frozen potatoes, commercial ingredients, and appetizers under the Lamb Weston brand, as well as under various customer labels. The company also provides its products under its owned or licensed brands, such as Grown in Idaho and Alexia, and other licensed brands, as well as under retailers' own brands. It sells its products through a network of internal sales personnel and independent brokers, agents, and distributors to quick service and full-service restaurants and chains, wholesale, grocery, mass merchants, club retailers, and specialty retailers, as well as foodservice distributors and institutions, including businesses, educational institutions, independent restaurants, regional chain restaurants, and convenience stores. The company was incorporated in 1950 and is headquartered in Eagle, Idaho."
Website,https://www.lambweston.com
Full Time Employees,10700
Currency,USD
Previous Close,51.79
Open,51.8
Bid,52.0
Ask,53.75
Day's Range,51.785 - 53.85
52 Week Range,47.9 - 89.51
Volume,2204246
Avg. Volume,2665326
Market Cap (intraday),7599096320
Beta (5Y Monthly),0.455
PE Ratio (TTM),21.117647
EPS (TTM),2.55
Earnings Date,1743683400
Forward Dividend & Yield,1.48 (2.75)
Ex-Dividend Date,1746144000
1y Target Est,66.00786
