Attribute,Value
Symbol,EIX
Name,Edison International
Industry,Utilities - Regulated Electric
Sector,Utilities
Country,United States
Market Cap,22558713856
Description,"Edison International, through its subsidiaries, engages in the generation and distribution of electric power. The company supplies and delivers through its electrical infrastructure to an approximately 50,000 square-mile area of southern California. It serves residential, commercial, industrial, public authorities, agricultural, and other sectors. The company's distribution network consists of approximately 13,000 circuit-miles of lines ranging from 55 kV to 500 kV and approximately 80 transmission substations; and approximately 38,000 circuit-miles of overhead lines, approximately 32,000 circuit-miles of underground lines, and approximately 730 distribution substations. Edison International was founded in 1886 and is based in Rosemead, California."
Website,https://www.edison.com
Full Time Employees,14013
Currency,USD
Previous Close,57.6
Open,57.87
Bid,57.7
Ask,58.8
Day's Range,57.68 - 58.63
52 Week Range,49.06 - 88.77
Volume,1703574
Avg. Volume,3942853
Market Cap (intraday),22558713856
Beta (5Y Monthly),0.77
PE Ratio (TTM),8.292787
EPS (TTM),7.07
Earnings Date,1745957100
Forward Dividend & Yield,3.31 (5.65)
Ex-Dividend Date,1743984000
1y Target Est,69.67833
