Attribute,Value
Symbol,O
Name,Realty Income Corporation
Industry,REIT - Retail
Sector,Real Estate
Country,United States
Market Cap,50789220352
Description,"Realty Income (NYSE: O), an S&P 500 company, is real estate partner to the world's leading companies. Founded in 1969, we invest in diversified commercial real estate and, as of December 31, 2024, have a portfolio of over 15,600 properties in all 50 U.S. states, the U.K., and six other countries in Europe. We are known as ""The Monthly Dividend Company"" and have a mission to invest in people and places to deliver dependable monthly dividends that increase over time. Since our founding, we have declared 656 consecutive monthly dividends and are a member of the S&P 500 Dividend Aristocrats index for having increased our dividend for the last 30 consecutive years."
Website,https://www.realtyincome.com
Full Time Employees,468
Currency,USD
Previous Close,55.4
Open,55.5
Bid,55.98
Ask,56.12
Day's Range,55.31 - 56.34
52 Week Range,50.71 - 64.88
Volume,6465343
Avg. Volume,6203428
Market Cap (intraday),50789220352
Beta (5Y Monthly),0.787
PE Ratio (TTM),51.127274
EPS (TTM),1.1
Earnings Date,1746475509
Forward Dividend & Yield,3.22 (5.73)
Ex-Dividend Date,1748822400
1y Target Est,61.7381
