Attribute,Value
Symbol,PSA
Name,Public Storage
Industry,REIT - Industrial
Sector,Real Estate
Country,United States
Market Cap,54234497024
Description,"Public Storage, a member of the S&P 500, is a REIT that primarily acquires, develops, owns, and operates self-storage facilities. At December 31, 2024, we: (i) owned and/or operated 3,380 self-storage facilities located in 40 states with approximately 245 million net rentable square feet in the United States and (ii) owned a 35% common equity interest in Shurgard Self Storage Limited (Euronext Brussels:SHUR), which owned 318 self-storage facilities located in seven Western European nations with approximately 17 million net rentable square feet operated under the Shurgard brand. Our headquarters are located in Glendale, California."
Website,https://www.publicstorage.com
Full Time Employees,5900
Currency,USD
Previous Close,304.98
Open,305.14
Bid,303.25
Ask,325.21
Day's Range,304.75 - 309.15
52 Week Range,256.6 - 369.99
Volume,705505
Avg. Volume,850207
Market Cap (intraday),54234497024
Beta (5Y Monthly),0.901
PE Ratio (TTM),30.669643
EPS (TTM),10.08
Earnings Date,1746043500
Forward Dividend & Yield,12.0 (3.88)
Ex-Dividend Date,1749686400
1y Target Est,331.66666
