Attribute,Value
Symbol,VZ
Name,Verizon Communications Inc.
Industry,Telecom Services
Sector,Communication Services
Country,United States
Market Cap,185472843776
Description,"Verizon Communications Inc., through its subsidiaries, engages in the provision of communications, technology, information, and entertainment products and services to consumers, businesses, and governmental entities worldwide. It operates in two segments, Verizon Consumer Group (Consumer) and Verizon Business Group (Business). The Consumer segment provides wireless services across the wireless networks in the United States under the Verizon and TracFone brands and through wholesale and other arrangements; and fixed wireless access (FWA) broadband through its wireless networks, as well as related equipment and devices, such as smartphones, tablets, smart watches, and other wireless-enabled connected devices. The segment also offers wireline services in the Mid-Atlantic and Northeastern United States, as well as Washington D.C. through its fiber-optic network, Verizon Fios product portfolio, and a copper-based network. The Business segment provides wireless and wireline communications services and products, including FWA broadband, data, video and conferencing, corporate networking, security and managed network, local and long-distance voice, and network access services to deliver various IoT services and products to businesses, government customers, and wireless and wireline carriers in the United States and internationally. The company was formerly known as Bell Atlantic Corporation and changed its name to Verizon Communications Inc. in June 2000. Verizon Communications Inc. was incorporated in 1983 and is headquartered in New York, New York."
Website,https://www.verizon.com
Full Time Employees,99400
Currency,USD
Previous Close,43.48
Open,43.49
Bid,43.91
Ask,43.89
Day's Range,43.36 - 43.99
52 Week Range,37.59 - 47.36
Volume,10274138
Avg. Volume,24650234
Market Cap (intraday),185472843776
Beta (5Y Monthly),0.383
PE Ratio (TTM),10.47381
EPS (TTM),4.2
Earnings Date,1753101000
Forward Dividend & Yield,2.71 (6.16)
Ex-Dividend Date,1744243200
1y Target Est,48.06739
