Attribute,Value
Symbol,IR
Name,Ingersoll Rand Inc.
Industry,Specialty Industrial Machinery
Sector,Industrials
Country,United States
Market Cap,33894928384
Description,"Ingersoll Rand Inc. provides various mission-critical air, fluid, energy, and medical technologies services and solutions worldwide. It operates in two segments, Industrial Technologies and Services, and Precision and Science Technologies. The Industrial Technologies and Services segment designs, manufactures, markets, and services air and gas compression, vacuum, and blower products; fluid transfer equipment and loading systems; and power tools and lifting equipment, including associated aftermarket parts, consumables and services, air treatment equipment, controls, other accessories, and services under the Ingersoll Rand, Gardner Denver, Nash, CompAir, Elmo Rietschle, and other brands. The Precision and Science Technologies segment designs, manufactures, and markets diaphragm, piston, water-powered, peristaltic, gear, vane, progressive cavity, and syringe pumps; and gas boosters, hydrogen compression systems, automated liquid handling systems, odorant injection systems, controls, software, and other related components and accessories for precision dosing, liquid and solid transfer, dispensing, gas compression and sampling, pressure management, flow control, powder handling, and other applications under the Air Dimensions, Albin, ARO, Dosatron, Haskel, Ingersoll Rand, LMI, Maximus, Milton Roy, MP, Oberdorfer, Seepex, Thomas, Welch, Williams, YZ, and Zinnser Analytic brands. This segment's products are used in medical, laboratory, life sciences, industrial manufacturing, water and wastewater, chemical processing, energy, food and beverage, agriculture, and other markets. It sells its products through an integrated network of direct sales representatives and independent distributors. The company was formerly known as Gardner Denver Holdings, Inc. and changed its name to Ingersoll Rand Inc. in March 2020. Ingersoll Rand Inc. was founded in 1859 and is headquartered in Davidson, North Carolina."
Website,https://www.irco.com
Full Time Employees,21000
Currency,USD
Previous Close,83.0
Open,82.91
Bid,79.78
Ask,84.65
Day's Range,82.65 - 84.08
52 Week Range,65.61 - 106.03
Volume,2206494
Avg. Volume,3318552
Market Cap (intraday),33894928384
Beta (5Y Monthly),1.42
PE Ratio (TTM),41.58911
EPS (TTM),2.02
Earnings Date,1746131400
Forward Dividend & Yield,0.08 (0.1)
Ex-Dividend Date,1747267200
1y Target Est,89.27706
