Attribute,Value
Symbol,MAA
Name,Mid-America Apartment Communiti
Industry,REIT - Residential
Sector,Real Estate
Country,United States
Market Cap,19603257344
Description,"MAA, an S&P 500 company, is a real estate investment trust (REIT) focused on delivering full-cycle and superior investment performance for shareholders through the ownership, management, acquisition, development and redevelopment of quality apartment communities primarily in the Southeast, Southwest and Mid-Atlantic regions of the United States. As of September 30, 2024, MAA had ownership interest in 104,469 apartment units, including communities currently in development, across 16 states and the District of Columbia."
Website,https://www.maac.com
Full Time Employees,2532
Currency,USD
Previous Close,160.9
Open,161.0
Bid,163.55
Ask,171.67
Day's Range,160.35 - 163.62
52 Week Range,126.77 - 173.38
Volume,1660833
Avg. Volume,938806
Market Cap (intraday),19603257344
Beta (5Y Monthly),0.803
PE Ratio (TTM),33.929314
EPS (TTM),4.81
Earnings Date,1746044107
Forward Dividend & Yield,6.06 (3.71)
Ex-Dividend Date,1744675200
1y Target Est,170.34615
