Attribute,Value
Symbol,ENPH
Name,"Enphase Energy, Inc."
Industry,Solar
Sector,Technology
Country,United States
Market Cap,6612832768
Description,"Enphase Energy, Inc., together with its subsidiaries, designs, develops, manufactures, and sells home energy solutions for the solar photovoltaic industry in the United States and internationally. The company offers semiconductor-based microinverter that converts energy at the individual solar module level and combines with its proprietary networking and software technologies to provide energy monitoring and control. It also provides microinverter units and related accessories; IQ Battery and related accessories; IQ Gateway and IQ Energy Router; cloud-based Enlighten monitoring service; and electric vehicle charging solutions, as well as design, proposal, permitting, and lead generation services. The company sells its solutions to solar distributors; and directly to large installers, original equipment manufacturers, strategic partners, and homeowners, as well as through its legacy product upgrade program or online store. Enphase Energy, Inc. was incorporated in 2006 and is headquartered in Fremont, California."
Website,https://www.enphase.com
Full Time Employees,2781
Currency,USD
Previous Close,49.725
Open,49.945
Bid,50.24
Ask,50.52
Day's Range,49.1 - 51.88
52 Week Range,43.09 - 141.63
Volume,5685963
Avg. Volume,5332642
Market Cap (intraday),6612832768
Beta (5Y Monthly),1.801
PE Ratio (TTM),46.238533
EPS (TTM),1.09
Earnings Date,1745352300
Forward Dividend & Yield,
Ex-Dividend Date,
1y Target Est,57.66944
